Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,131,139,135,3.68,40
Resistance,151,165,158,7.01,17
Resistance,172,199,186,13.4,9
Resistance,219,247,233,14.3,8
Resistance,299,338,318,19.28,14
Resistance,392,424,408,15.69,31
Resistance,445,496,471,25.23,22
Resistance,575,626,601,25.73,7
Resistance,803,837,820,16.83,4
Resistance,928,942,935,7.07,2
Support,109,109,109,0.0,1
Support,111,111,111,0.0,2
Support,117,117,117,0.0,1
Support,120,120,120,0.0,1
Support,123,123,123,0.0,1
Support,125,125,125,0.0,3
Support,126,126,126,0.0,1
Support,127,127,127,0.0,1
Support,128,128,128,0.0,2
Support,129,129,129,0.0,9
