Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,1396,1642,1519,122.63,29
Resistance,1701,1915,1808,106.7,22
Resistance,2246,2559,2402,156.21,13
Resistance,2791,3212,3001,210.02,2
Resistance,3495,3729,3612,117.16,8
Resistance,3953,4194,4074,120.58,8
Resistance,4449,4739,4594,144.88,8
Resistance,5547,5994,5770,223.28,11
Resistance,6230,6641,6436,205.58,7
Resistance,8100,8100,8100,0.0,1
Support,15,29,22,6.64,44
Support,42,73,57,15.67,7
Support,144,205,175,30.69,5
Support,244,268,256,11.76,6
Support,310,331,320,10.3,2
Support,541,541,541,0.0,1
Support,903,903,903,0.0,1
Support,995,995,995,0.0,1
Support,1145,1183,1164,19.03,6
Support,1212,1244,1228,16.27,5
