Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,4220,4220,4220,0.0,1
Resistance,4295,4318,4307,11.55,3
Resistance,4350,4350,4350,0.0,1
Resistance,4579,4721,4650,70.71,2
Resistance,4800,4870,4835,35.36,2
Resistance,4883,4997,4940,56.57,2
Resistance,5400,5400,5400,0.0,1
Resistance,5725,5725,5725,0.0,1
Resistance,5840,5993,5917,76.38,3
Resistance,6175,6175,6175,0.0,1
Support,661,737,699,37.77,10
Support,821,937,879,58.12,33
Support,1295,1461,1378,83.2,11
Support,1654,1813,1734,79.31,4
Support,1957,2029,1993,36.33,5
Support,2910,2910,2910,0.0,1
Support,3412,3584,3498,86.3,20
Support,3682,3801,3741,59.6,38
Support,3868,3937,3902,34.57,37
Support,4054,4146,4100,46.26,11
