Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,1141,1187,1164,23.0,16
Resistance,1233,1283,1258,25.26,15
Resistance,1327,1369,1348,21.01,25
Resistance,1395,1419,1407,11.97,29
Resistance,1442,1469,1456,13.35,13
Resistance,1506,1560,1533,27.35,4
Resistance,1588,1617,1603,14.37,5
Resistance,1631,1671,1651,20.32,9
Resistance,1710,1777,1744,33.94,3
Resistance,1850,1850,1850,0.0,1
Support,622,629,626,3.53,2
Support,697,724,711,13.19,4
Support,753,775,764,11.11,6
Support,838,872,855,17.29,9
Support,890,902,896,5.76,3
Support,945,959,952,7.05,2
Support,980,999,990,9.55,4
Support,1031,1038,1035,3.53,2
Support,1071,1078,1075,3.53,2
Support,1106,1116,1111,4.96,8
