Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,1712,1767,1739,27.38,22
Resistance,1801,1896,1849,47.81,13
Resistance,2044,2125,2085,40.47,11
Resistance,2180,2238,2209,29.42,6
Resistance,2293,2356,2324,31.35,3
Resistance,2401,2469,2435,34.16,6
Resistance,2662,2789,2725,63.23,9
Resistance,2875,2993,2934,59.3,6
Resistance,3238,3238,3238,0.0,1
Resistance,3670,3918,3794,124.14,2
Support,177,202,190,12.68,10
Support,282,309,296,13.48,9
Support,449,522,485,36.58,5
Support,712,812,762,50.05,3
Support,882,917,900,17.24,2
Support,1127,1211,1169,41.78,9
Support,1279,1345,1312,33.01,19
Support,1436,1493,1465,28.47,24
Support,1547,1606,1577,29.3,15
Support,1638,1677,1658,19.83,20
