Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,2643,2674,2659,15.53,15
Resistance,2710,2747,2728,18.54,17
Resistance,2767,2796,2782,14.56,10
Resistance,2830,2878,2854,24.04,8
Resistance,2933,2994,2964,30.26,8
Resistance,3131,3196,3163,32.14,4
Resistance,3248,3321,3285,36.63,5
Resistance,3438,3438,3438,0.0,1
Resistance,3701,3876,3788,87.1,2
Resistance,4393,4393,4393,0.0,1
Support,1457,1532,1495,37.7,11
Support,1696,1744,1720,23.99,6
Support,1806,1806,1806,0.0,1
Support,1963,2058,2010,47.83,16
Support,2162,2224,2193,31.33,10
Support,2247,2309,2278,31.23,8
Support,2372,2417,2394,22.89,22
Support,2457,2488,2473,15.4,11
Support,2503,2541,2522,18.96,19
Support,2575,2604,2589,14.8,12
