Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih,Z_Score,Mean_Reference,Std_Reference,Cluster
2020-01-28,202.0,196.0,,196.0,Support,196.0,246.0,-50.0,-1.079283239062314,286.3795180722892,83.74031468404094,0
2020-02-03,202.0,195.0,,195.0,Support,195.0,246.0,-51.0,-1.091224918572035,286.3795180722892,83.74031468404094,0
2020-02-28,182.0,162.0,,162.0,Support,162.0,246.0,-84.0,-1.485300342392828,286.3795180722892,83.74031468404094,3
2020-03-20,139.0,107.0,139.0,107.0,Support,107.0,246.0,-139.0,-2.142092715427483,286.3795180722892,83.74031468404094,2
2020-03-24,133.0,117.0,,117.0,Support,117.0,246.0,-129.0,-2.022675920330273,286.3795180722892,83.74031468404094,2
2020-03-30,142.0,133.0,,133.0,Support,133.0,246.0,-113.0,-1.831609048174737,286.3795180722892,83.74031468404094,3
2020-04-02,152.0,136.0,,136.0,Support,136.0,246.0,-110.0,-1.7957840096455735,286.3795180722892,83.74031468404094,3
2020-04-13,152.0,144.0,,144.0,Support,144.0,246.0,-102.0,-1.7002505735678055,286.3795180722892,83.74031468404094,3
2020-04-16,150.0,144.0,,144.0,Support,144.0,246.0,-102.0,-1.7002505735678055,286.3795180722892,83.74031468404094,3
2020-04-22,147.0,138.0,147.0,138.0,Support,138.0,246.0,-108.0,-1.771900650626132,286.3795180722892,83.74031468404094,3
2020-04-28,145.0,140.0,,140.0,Support,140.0,246.0,-106.0,-1.7480172916066898,286.3795180722892,83.74031468404094,3
2020-05-13,145.0,139.0,,139.0,Support,139.0,246.0,-107.0,-1.7599589711164108,286.3795180722892,83.74031468404094,3
2020-05-18,141.0,139.0,,139.0,Support,139.0,246.0,-107.0,-1.7599589711164108,286.3795180722892,83.74031468404094,3
2020-06-05,161.0,158.0,,158.0,Support,158.0,246.0,-88.0,-1.5330670604317118,286.3795180722892,83.74031468404094,3
2020-06-12,160.0,155.0,,155.0,Support,155.0,246.0,-91.0,-1.5688920989608748,286.3795180722892,83.74031468404094,3
2020-06-17,162.0,156.0,,156.0,Support,156.0,246.0,-90.0,-1.556950419451154,286.3795180722892,83.74031468404094,3
2020-06-23,162.0,158.0,,158.0,Support,158.0,246.0,-88.0,-1.5330670604317118,286.3795180722892,83.74031468404094,3
2020-07-08,170.0,159.0,170.0,159.0,Support,159.0,246.0,-87.0,-1.521125380921991,286.3795180722892,83.74031468404094,3
2020-07-10,169.0,160.0,169.0,160.0,Support,160.0,246.0,-86.0,-1.5091837014122698,286.3795180722892,83.74031468404094,3
2020-07-14,164.0,161.0,,161.0,Support,161.0,246.0,-85.0,-1.4972420219025488,286.3795180722892,83.74031468404094,3
2020-07-28,262.0,226.0,262.0,,Resistance,262.0,246.0,16.0,-0.2911323914207281,286.3795180722892,83.74031468404094,1
2020-08-25,270.0,220.0,270.0,,Resistance,270.0,246.0,24.0,-0.1955989553429602,286.3795180722892,83.74031468404094,1
2020-09-01,240.0,228.0,,228.0,Support,228.0,246.0,-18.0,-0.6971494947512421,286.3795180722892,83.74031468404094,1
2020-09-02,260.0,232.0,260.0,,Resistance,260.0,246.0,14.0,-0.3150157504401701,286.3795180722892,83.74031468404094,1
2020-09-11,248.0,192.0,248.0,192.0,Support,192.0,246.0,-54.0,-1.127049957101198,286.3795180722892,83.74031468404094,0
2020-09-11,248.0,192.0,248.0,192.0,Resistance,248.0,246.0,2.0,-0.4583159045568221,286.3795180722892,83.74031468404094,1
2020-09-29,208.0,200.0,,200.0,Support,200.0,246.0,-46.0,-1.03151652102343,286.3795180722892,83.74031468404094,0
2020-10-02,208.0,200.0,,200.0,Support,200.0,246.0,-46.0,-1.03151652102343,286.3795180722892,83.74031468404094,0
2020-10-15,228.0,220.0,,220.0,Support,220.0,246.0,-26.0,-0.7926829308290101,286.3795180722892,83.74031468404094,1
2020-10-26,228.0,222.0,,222.0,Support,222.0,246.0,-24.0,-0.768799571809568,286.3795180722892,83.74031468404094,1
2020-11-02,226.0,218.0,,218.0,Support,218.0,246.0,-28.0,-0.816566289848452,286.3795180722892,83.74031468404094,1
2020-11-06,258.0,222.0,258.0,,Resistance,258.0,246.0,12.0,-0.3388991094596121,286.3795180722892,83.74031468404094,1
2020-11-09,238.0,220.0,,220.0,Support,220.0,246.0,-26.0,-0.7926829308290101,286.3795180722892,83.74031468404094,1
2020-11-13,236.0,226.0,,226.0,Support,226.0,246.0,-20.0,-0.721032853770684,286.3795180722892,83.74031468404094,1
2020-11-18,234.0,228.0,,228.0,Support,228.0,246.0,-18.0,-0.6971494947512421,286.3795180722892,83.74031468404094,1
2020-11-26,240.0,234.0,,234.0,Support,234.0,246.0,-12.0,-0.6254994176929161,286.3795180722892,83.74031468404094,1
2020-12-02,254.0,232.0,254.0,,Resistance,254.0,246.0,8.0,-0.3866658274984961,286.3795180722892,83.74031468404094,1
2020-12-08,300.0,246.0,300.0,,Resistance,300.0,246.0,54.0,0.1626514299486696,286.3795180722892,83.74031468404094,3
