Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih,Z_Score,Mean_Reference,Std_Reference,Cluster
2020-01-17,314.0,310.0,314.0,,Resistance,314.0,130.0,184.0,0.1276432852715653,290.8125,181.65859606847172,3
2020-01-23,312.0,308.0,312.0,,Resistance,312.0,130.0,182.0,0.1166336218519155,290.8125,181.65859606847172,3
2020-01-30,378.0,316.0,378.0,,Resistance,378.0,130.0,248.0,0.4799525147003602,290.8125,181.65859606847172,4
2020-02-19,348.0,212.0,348.0,212.0,Resistance,348.0,130.0,218.0,0.3148075634056126,290.8125,181.65859606847172,3
2020-03-12,525.0,378.0,525.0,,Resistance,525.0,130.0,395.0,1.2891627760446236,290.8125,181.65859606847172,0
2020-03-18,498.0,420.0,498.0,420.0,Resistance,498.0,130.0,368.0,1.1405323198793509,290.8125,181.65859606847172,0
2020-04-01,560.0,424.0,560.0,,Resistance,560.0,130.0,430.0,1.4818318858884958,290.8125,181.65859606847172,5
2020-04-03,480.0,420.0,480.0,,Resistance,480.0,130.0,350.0,1.0414453491025022,290.8125,181.65859606847172,0
2020-04-16,450.0,394.0,450.0,394.0,Resistance,450.0,130.0,320.0,0.8763003978077546,290.8125,181.65859606847172,0
2020-05-05,450.0,400.0,450.0,400.0,Resistance,450.0,130.0,320.0,0.8763003978077546,290.8125,181.65859606847172,0
2020-05-19,416.0,400.0,416.0,400.0,Resistance,416.0,130.0,286.0,0.6891361196737072,290.8125,181.65859606847172,4
2020-06-19,416.0,402.0,416.0,402.0,Resistance,416.0,130.0,286.0,0.6891361196737072,290.8125,181.65859606847172,4
2020-07-10,382.0,360.0,382.0,,Resistance,382.0,130.0,252.0,0.50197184153966,290.8125,181.65859606847172,4
2020-07-14,380.0,356.0,380.0,,Resistance,380.0,130.0,250.0,0.4909621781200101,290.8125,181.65859606847172,4
2020-07-17,372.0,362.0,372.0,,Resistance,372.0,130.0,242.0,0.4469235244414107,290.8125,181.65859606847172,4
2020-08-04,426.0,386.0,426.0,386.0,Resistance,426.0,130.0,296.0,0.7441844367719564,290.8125,181.65859606847172,4
2020-08-10,414.0,378.0,414.0,,Resistance,414.0,130.0,284.0,0.6781264562540574,290.8125,181.65859606847172,4
2020-08-24,420.0,372.0,420.0,372.0,Resistance,420.0,130.0,290.0,0.711155446513007,290.8125,181.65859606847172,4
2020-08-26,402.0,390.0,402.0,,Resistance,402.0,130.0,272.0,0.6120684757361584,290.8125,181.65859606847172,4
2020-08-31,410.0,398.0,410.0,,Resistance,410.0,130.0,280.0,0.6561071294147578,290.8125,181.65859606847172,4
2020-09-07,410.0,398.0,410.0,,Resistance,410.0,130.0,280.0,0.6561071294147578,290.8125,181.65859606847172,4
2020-09-16,400.0,398.0,400.0,,Resistance,400.0,130.0,270.0,0.6010588123165086,290.8125,181.65859606847172,4
2020-09-29,400.0,398.0,400.0,,Resistance,400.0,130.0,270.0,0.6010588123165086,290.8125,181.65859606847172,4
2020-10-20,400.0,398.0,400.0,,Resistance,400.0,130.0,270.0,0.6010588123165086,290.8125,181.65859606847172,4
2020-10-22,410.0,396.0,410.0,,Resistance,410.0,130.0,280.0,0.6561071294147578,290.8125,181.65859606847172,4
2020-11-09,410.0,396.0,410.0,,Resistance,410.0,130.0,280.0,0.6561071294147578,290.8125,181.65859606847172,4
2020-11-16,410.0,396.0,410.0,,Resistance,410.0,130.0,280.0,0.6561071294147578,290.8125,181.65859606847172,4
2020-11-26,410.0,396.0,410.0,,Resistance,410.0,130.0,280.0,0.6561071294147578,290.8125,181.65859606847172,4
