Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,2755,2825,2790,35.42,23
Resistance,2849,2891,2870,20.85,24
Resistance,2930,2979,2954,24.41,14
Resistance,3042,3103,3072,30.59,8
Resistance,3180,3275,3228,47.12,12
Resistance,3355,3510,3432,77.59,12
Resistance,3884,3936,3910,26.46,3
Resistance,4130,4130,4130,0.0,1
Support,1620,1620,1620,0.0,1
Support,1975,2102,2038,63.64,9
Support,2127,2203,2165,37.8,8
Support,2270,2321,2295,25.28,17
Support,2341,2391,2366,25.04,8
Support,2447,2506,2476,29.77,14
Support,2536,2588,2562,25.77,14
Support,2648,2703,2676,27.91,18
