Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,255,273,264,8.89,27
Resistance,284,300,292,8.39,16
Resistance,311,324,317,6.67,10
Resistance,342,353,348,5.4,14
Resistance,365,379,372,7.13,15
Resistance,390,407,399,8.33,10
Resistance,417,439,428,10.77,9
Resistance,462,488,475,13.11,4
Support,107,107,107,0.0,1
Support,117,117,117,0.0,1
Support,135,143,139,3.72,8
Support,156,161,159,2.39,8
Support,193,200,197,3.44,5
Support,219,222,220,1.56,9
Support,228,233,231,2.49,18
Support,239,243,241,2.02,11
