Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,2640,2688,2664,24.17,30
Resistance,2726,2760,2743,17.02,13
Resistance,2789,2832,2811,21.27,18
Resistance,2869,2921,2895,26.2,21
Resistance,2974,3066,3020,46.29,8
Resistance,3210,3267,3238,28.58,6
Resistance,3304,3356,3330,26.46,3
Resistance,3680,3680,3680,0.0,1
Support,1585,1585,1585,0.0,1
Support,1754,1814,1784,29.92,7
Support,1946,2017,1982,35.47,3
Support,2117,2166,2141,24.1,7
Support,2202,2272,2237,35.02,6
Support,2378,2422,2400,22.36,13
Support,2449,2488,2469,19.16,27
Support,2537,2586,2561,24.47,35
