Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,1138,1242,1190,52.13,37
Resistance,1339,1431,1385,46.18,15
Resistance,1522,1616,1569,47.06,7
Resistance,1753,1877,1815,62.03,12
Resistance,2028,2110,2069,40.79,6
Resistance,2201,2254,2228,26.3,4
Resistance,2407,2478,2442,35.94,4
Resistance,2790,2790,2790,0.0,2
Support,625,675,650,24.83,4
Support,718,750,734,15.96,25
Support,769,788,778,9.33,20
Support,796,843,819,23.91,9
Support,902,946,924,21.62,5
Support,969,994,982,12.52,6
Support,1028,1046,1037,9.05,9
Support,1065,1088,1076,11.57,8
