Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,92,99,95,3.26,17
Resistance,105,115,110,5.39,36
Resistance,134,145,140,5.59,37
Resistance,158,168,163,5.0,17
Resistance,173,180,177,3.48,12
Resistance,186,198,192,6.1,17
Resistance,219,237,228,8.83,7
Resistance,269,277,273,4.24,2
Resistance,320,320,320,0.0,1
Support,50,53,52,1.3,5
Support,54,56,55,0.82,7
Support,57,58,58,0.89,5
Support,60,63,62,1.13,7
Support,65,66,65,0.6,11
Support,67,68,68,0.58,3
Support,74,74,74,0.0,2
Support,79,79,79,0.0,1
Support,85,88,86,1.4,7
