Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,77,81,79,2.15,17
Resistance,89,96,92,3.42,23
Resistance,102,113,108,5.36,9
Resistance,118,131,124,6.88,5
Resistance,138,148,143,5.12,11
Resistance,158,171,165,6.5,18
Resistance,184,200,192,7.71,7
Resistance,232,232,232,0.0,2
Resistance,257,263,260,2.83,2
Support,50,50,50,0.0,5
Support,60,60,60,0.0,2
Support,61,62,61,0.5,4
Support,63,64,64,0.45,5
Support,65,66,66,0.55,6
Support,67,68,67,0.38,7
Support,69,70,69,0.58,4
Support,71,72,71,0.71,2
Support,73,74,74,0.45,5
