Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,1229,1257,1243,13.98,24,1243.0,0.0315,1205.0,577.82,1
Resistance,1280,1307,1294,13.57,23,1294.0,0.0739,1205.0,274.27,2
Resistance,1326,1354,1340,13.94,26,1340.0,0.112,1205.0,213.06,3
Resistance,1379,1415,1397,17.89,25,1397.0,0.1593,1205.0,147.64,4
Resistance,1442,1487,1464,22.55,18,1464.0,0.2149,1205.0,80.02,5
Resistance,1523,1565,1544,20.54,17,1544.0,0.2813,1205.0,58.35,6
Resistance,1585,1622,1604,18.19,14,1604.0,0.3311,1205.0,41.04,7
Resistance,1647,1680,1664,16.62,8,1664.0,0.3809,1205.0,20.46,8
Resistance,1709,1769,1739,29.96,6,1739.0,0.4432,1205.0,13.24,9
Resistance,1889,1952,1920,31.49,6,1920.0,0.5934,1205.0,9.94,10
Support,1176,1199,1188,11.38,14,1188.0,0.0141,1205.0,580.72,1
Support,1122,1147,1135,12.31,9,1135.0,0.0581,1205.0,132.18,2
Support,1081,1096,1088,7.43,6,1088.0,0.0971,1205.0,56.02,3
Support,1038,1054,1046,7.69,4,1046.0,0.132,1205.0,28.18,4
Support,947,1005,976,28.9,3,976.0,0.19,1205.0,15.0,5
Support,706,724,715,8.88,3,715.0,0.4066,1205.0,7.2,6
Support,842,855,848,6.28,2,848.0,0.2963,1205.0,6.53,7
Support,743,762,753,9.42,2,753.0,0.3751,1205.0,5.19,8
Support,634,672,653,18.85,2,653.0,0.4581,1205.0,4.27,9
Support,795,795,795,0.0,1,795.0,0.3402,1205.0,2.86,10
