Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,894,908,901,7.06,22,901.0,0.0297,875.0,553.96,1
Resistance,879,885,882,2.74,5,882.0,0.008,875.0,277.78,2
Resistance,930,963,946,16.52,4,946.0,0.0811,875.0,43.89,3
Resistance,1047,1053,1050,3.16,6,1050.0,0.2,875.0,28.57,4
Resistance,1074,1089,1082,7.64,3,1082.0,0.2366,875.0,12.17,5
Resistance,1002,1023,1012,10.61,2,1012.0,0.1566,875.0,12.01,6
Resistance,1143,1172,1158,14.43,4,1158.0,0.3234,875.0,12.0,7
Resistance,1236,1254,1245,8.66,3,1245.0,0.4229,875.0,6.93,8
Resistance,1316,1344,1330,14.14,2,1330.0,0.52,875.0,3.77,9
Resistance,1365,1365,1365,0.0,1,1365.0,0.56,875.0,1.75,10
Support,854,869,862,7.49,31,862.0,0.0149,875.0,1247.13,1
Support,824,843,833,9.53,14,833.0,0.048,875.0,241.38,2
Support,556,579,568,11.11,16,568.0,0.3509,875.0,44.34,3
Support,494,514,504,10.39,18,504.0,0.424,875.0,41.47,4
Support,767,813,790,23.45,4,790.0,0.0971,875.0,37.33,5
Support,451,460,456,4.61,18,456.0,0.4789,875.0,36.82,6
Support,642,664,653,10.9,9,653.0,0.2537,875.0,34.13,7
Support,592,600,596,4.37,11,596.0,0.3189,875.0,33.45,8
Support,469,480,474,5.62,15,474.0,0.4583,875.0,32.03,9
Support,609,619,614,4.86,9,614.0,0.2983,875.0,29.19,10
