Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,128,172,150,22.13,68,150.0,0.1538,130.0,415.02,1
Resistance,397,448,422,25.66,45,422.0,2.2462,130.0,19.95,2
Resistance,254,335,294,40.91,20,294.0,1.2615,130.0,15.73,3
Resistance,492,602,547,55.34,15,547.0,3.2077,130.0,4.66,4
Resistance,797,919,858,60.88,6,858.0,5.6,130.0,1.07,5
Support,128,129,129,0.65,12,129.0,0.0077,130.0,678.26,1
Support,124,126,125,1.1,5,125.0,0.0385,130.0,103.17,2
Support,116,121,119,2.12,2,119.0,0.0846,130.0,21.14,3
Support,111,111,111,0.0,2,111.0,0.1462,130.0,12.81,4
Support,109,109,109,0.0,1,109.0,0.1615,130.0,5.83,5
