Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,1998,2046,2022,23.72,32,2022.0,0.093,1850.0,310.76,1
Resistance,1927,1970,1948,21.79,9,1948.0,0.053,1850.0,142.92,2
Resistance,2073,2136,2105,31.51,19,2105.0,0.1378,1850.0,128.52,3
Resistance,2179,2266,2222,43.34,8,2222.0,0.2011,1850.0,37.9,4
Resistance,2365,2425,2395,30.0,4,2395.0,0.2946,1850.0,13.13,5
Support,1781,1831,1806,24.96,4,1806.0,0.0238,1850.0,118.4,1
Support,1349,1405,1377,28.36,27,1377.0,0.2557,1850.0,101.63,2
Support,1454,1514,1484,29.78,13,1484.0,0.1978,1850.0,62.55,3
Support,1060,1110,1085,25.0,11,1085.0,0.4135,1850.0,25.97,4
Support,1675,1710,1692,17.68,2,1692.0,0.0854,1850.0,20.96,5
