Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,2781,2880,2831,49.51,47,2831.0,0.0408,2720.0,925.04,1
Resistance,2932,3039,2986,53.56,20,2986.0,0.0978,2720.0,185.54,2
Resistance,3152,3271,3211,59.85,14,3211.0,0.1805,2720.0,73.49,3
Resistance,3355,3510,3432,77.59,12,3432.0,0.2618,2720.0,44.16,4
Resistance,3853,4077,3965,112.1,4,3965.0,0.4577,2720.0,8.55,5
Support,2627,2702,2665,37.5,21,2665.0,0.0202,2720.0,694.89,1
Support,2458,2554,2506,47.84,26,2506.0,0.0787,2720.0,293.2,2
Support,2253,2351,2302,48.76,27,2302.0,0.1537,2720.0,164.96,3
Support,2003,2147,2075,71.91,14,2075.0,0.2371,2720.0,56.65,4
Support,1620,1620,1620,0.0,1,1620.0,0.4044,2720.0,2.41,5
