Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,1455,1803,1629,174.42,50,1629.0,0.2677,1285.0,180.05,1
Resistance,2205,2617,2411,206.04,15,2411.0,0.8763,1285.0,16.92,2
Resistance,3436,3942,3689,253.23,13,3689.0,1.8708,1285.0,6.91,3
Resistance,4209,4696,4453,243.52,12,4453.0,2.4654,1285.0,4.85,4
Resistance,5591,6149,5870,278.94,14,5870.0,3.5681,1285.0,3.91,5
Resistance,6208,7572,6890,682.05,5,6890.0,4.3619,1285.0,1.14,6
Support,1156,1230,1193,37.33,11,1193.0,0.0716,1285.0,134.81,1
Support,12,42,27,14.78,51,27.0,0.979,1285.0,51.57,2
Support,241,304,272,31.56,8,272.0,0.7883,1285.0,10.02,3
Support,884,1014,949,65.1,2,949.0,0.2615,1285.0,7.37,4
Support,144,205,175,30.69,5,175.0,0.8638,1285.0,5.72,5
Support,541,541,541,0.0,1,541.0,0.579,1285.0,1.7,6
