Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,4250,4346,4298,48.17,5,4298.0,0.0209,4210.0,161.8,1
Resistance,4670,4947,4808,138.34,6,4808.0,0.142,4210.0,39.46,2
Resistance,5840,5910,5875,35.36,2,5875.0,0.3955,4210.0,4.93,3
Resistance,5964,6211,6088,123.74,2,6088.0,0.4461,4210.0,4.39,4
Resistance,5400,5400,5400,0.0,1,5400.0,0.2827,4210.0,3.42,5
Resistance,5725,5725,5725,0.0,1,5725.0,0.3599,4210.0,2.7,6
Support,3862,4043,3952,90.66,46,3952.0,0.0613,4210.0,645.32,1
Support,3655,3804,3730,74.74,45,3730.0,0.114,4210.0,362.86,2
Support,3274,3586,3430,155.56,16,3430.0,0.1853,4210.0,81.94,3
Support,743,931,837,93.89,43,837.0,0.8012,4210.0,53.01,4
Support,1293,1502,1398,104.81,12,1398.0,0.6679,4210.0,17.7,5
Support,1794,2028,1911,117.0,8,1911.0,0.5461,4210.0,14.39,6
