Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,1701,1719,1710,8.66,3,1710.0,0.0179,1680.0,107.69,1
Resistance,1735,1741,1738,2.89,3,1738.0,0.0345,1680.0,67.38,2
Resistance,1759,1765,1762,2.89,3,1762.0,0.0488,1680.0,51.01,3
Resistance,1744,1751,1748,3.54,2,1748.0,0.0405,1680.0,39.62,4
Resistance,1790,1790,1790,0.0,2,1790.0,0.0655,1680.0,26.5,5
Resistance,1797,1818,1808,10.61,2,1808.0,0.0762,1680.0,23.2,6
Support,1500,1659,1579,79.59,17,1579.0,0.0601,1680.0,242.44,1
Support,988,1051,1020,31.42,38,1020.0,0.3929,1680.0,94.33,2
Support,1110,1208,1159,49.19,29,1159.0,0.3101,1680.0,90.59,3
Support,892,963,927,35.86,25,927.0,0.4482,1680.0,54.56,4
Support,700,788,744,43.77,18,744.0,0.5571,1680.0,31.74,5
Support,559,648,604,44.23,7,604.0,0.6405,1680.0,10.76,6
