Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,2637,2673,2655,17.93,24,2655.0,0.0134,2620.0,1027.45,1
Resistance,2706,2762,2734,28.03,21,2734.0,0.0435,2620.0,392.44,2
Resistance,2804,2869,2837,32.73,26,2837.0,0.0828,2620.0,280.1,3
Resistance,2901,3000,2951,49.4,18,2951.0,0.1263,2620.0,132.03,4
Resistance,3185,3323,3254,68.51,10,3254.0,0.242,2620.0,39.68,5
Resistance,3680,3680,3680,0.0,1,3680.0,0.4046,2620.0,2.41,6
Support,2528,2585,2556,28.8,38,2556.0,0.0244,2620.0,1103.77,1
Support,2406,2478,2442,36.27,37,2442.0,0.0679,2620.0,474.73,2
Support,2042,2177,2109,67.75,9,2109.0,0.195,2620.0,43.89,3
Support,2202,2272,2237,35.02,6,2237.0,0.1462,2620.0,38.42,4
Support,1740,1870,1805,64.81,8,1805.0,0.3111,2620.0,24.92,5
Support,1585,1585,1585,0.0,1,1585.0,0.395,2620.0,2.47,6
