Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,93,103,98,4.85,26,98.0,0.0889,90.0,262.92,1
Resistance,107,118,113,5.36,28,113.0,0.2556,90.0,105.44,2
Resistance,135,152,143,8.45,44,143.0,0.5889,90.0,73.47,3
Resistance,170,192,181,10.96,37,181.0,1.0111,90.0,36.24,4
Resistance,214,236,225,11.21,8,225.0,1.5,90.0,5.3,5
Resistance,269,277,273,4.24,2,273.0,2.0333,90.0,0.98,6
Resistance,320,320,320,0.0,1,320.0,2.5556,90.0,0.39,7
Support,85,88,86,1.4,7,86.0,0.0444,90.0,128.57,1
Support,65,66,65,0.6,11,65.0,0.2778,90.0,38.22,2
Support,54,57,56,1.33,11,56.0,0.3778,90.0,28.37,3
Support,60,63,61,1.39,8,61.0,0.3222,90.0,24.08,4
Support,73,79,76,2.89,3,76.0,0.1556,90.0,18.12,5
Support,67,68,68,0.58,3,68.0,0.2444,90.0,11.79,6
Support,50,53,52,1.3,5,52.0,0.4222,90.0,11.57,7
