Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,625,641,633,7.99,8,633.0,0.0293,615.0,203.73,1
Resistance,744,761,752,8.21,15,752.0,0.2228,615.0,64.44,2
Resistance,708,724,716,7.75,10,716.0,0.1642,615.0,57.4,3
Resistance,770,793,782,11.7,14,782.0,0.2715,615.0,49.73,4
Resistance,656,681,669,12.5,4,669.0,0.0878,615.0,40.9,5
Resistance,812,830,821,9.0,12,821.0,0.335,615.0,34.79,6
Resistance,844,869,857,12.58,3,857.0,0.3935,615.0,7.44,7
Resistance,886,911,898,12.58,3,898.0,0.4602,615.0,6.38,8
Support,594,609,602,7.64,3,602.0,0.0211,615.0,96.34,1
Support,570,580,575,5.0,3,575.0,0.065,615.0,39.98,2
Support,530,548,539,8.94,5,539.0,0.1236,615.0,37.43,3
Support,509,516,512,3.54,2,512.0,0.1675,615.0,11.27,4
Support,498,500,499,1.41,2,499.0,0.1886,615.0,10.07,5
Support,478,490,484,5.66,2,484.0,0.213,615.0,8.97,6
Support,425,433,429,4.24,2,429.0,0.3024,615.0,6.4,7
Support,375,397,386,11.31,2,386.0,0.3724,615.0,5.23,8
