Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,2643,2674,2659,15.53,15,2659.0,0.013,2625.0,653.53,1
Resistance,2711,2753,2732,20.92,19,2732.0,0.0408,2625.0,374.3,2
Resistance,2780,2849,2815,34.48,15,2815.0,0.0724,2625.0,182.08,3
Resistance,2921,2992,2957,35.4,9,2957.0,0.1265,2625.0,65.95,4
Resistance,3248,3321,3285,36.63,5,3285.0,0.2514,2625.0,19.13,5
Resistance,3131,3196,3163,32.14,4,3163.0,0.205,2625.0,18.61,6
Resistance,3701,3876,3788,87.1,2,3788.0,0.443,2625.0,4.41,7
Resistance,3438,3438,3438,0.0,1,3438.0,0.3097,2625.0,3.13,8
Resistance,4393,4393,4393,0.0,1,4393.0,0.6735,2625.0,1.46,9
Support,2558,2601,2580,21.7,16,2580.0,0.0171,2625.0,589.47,1
Support,2483,2523,2503,19.96,23,2503.0,0.0465,2625.0,407.25,2
Support,2373,2429,2401,28.25,25,2401.0,0.0853,2625.0,262.24,3
Support,1963,2058,2010,47.83,16,2010.0,0.2343,2625.0,65.5,4
Support,2162,2224,2193,31.33,10,2193.0,0.1646,2625.0,57.28,5
Support,2247,2309,2278,31.23,8,2278.0,0.1322,2625.0,56.26,6
Support,1457,1532,1495,37.7,11,1495.0,0.4305,2625.0,24.97,7
Support,1696,1744,1720,23.99,6,1720.0,0.3448,2625.0,16.91,8
Support,1806,1806,1806,0.0,1,1806.0,0.312,2625.0,3.11,9
