Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,1130,1193,1162,31.52,26,1162.0,0.0612,1095.0,365.23,1
Resistance,1243,1320,1282,38.28,16,1282.0,0.1708,1095.0,88.51,2
Resistance,1377,1444,1410,33.04,10,1410.0,0.2877,1095.0,33.59,3
Resistance,1753,1877,1815,62.03,12,1815.0,0.6575,1095.0,17.98,4
Resistance,1522,1616,1569,47.06,7,1569.0,0.4329,1095.0,15.81,5
Resistance,2028,2110,2069,40.79,6,2069.0,0.8895,1095.0,6.67,6
Resistance,2201,2254,2228,26.3,4,2228.0,1.0347,1095.0,3.83,7
Resistance,2407,2478,2442,35.94,4,2442.0,1.2301,1095.0,3.23,8
Resistance,2790,2790,2790,0.0,2,2790.0,1.5479,1095.0,1.28,9
Support,1065,1088,1076,11.57,8,1076.0,0.0174,1095.0,292.49,1
Support,1028,1046,1037,9.05,9,1037.0,0.053,1095.0,142.93,2
Support,718,750,734,15.96,25,734.0,0.3297,1095.0,73.6,3
Support,769,786,778,8.72,19,778.0,0.2895,1095.0,63.44,4
Support,969,994,982,12.52,6,982.0,0.1032,1095.0,53.01,5
Support,796,809,803,6.36,7,803.0,0.2667,1095.0,25.3,6
Support,915,948,931,16.52,4,931.0,0.1498,1095.0,25.04,7
Support,837,885,861,23.94,4,861.0,0.2137,1095.0,17.88,8
Support,625,675,650,24.83,4,650.0,0.4064,1095.0,9.61,9
