Emiten,Tebakan_Tepat,Prediksi_Meleset,Perubahan_Terlewat,Kondisi_Stabil,Akurasi_Total,Ketepatan_Prediksi,Daya_Tangkap_Model,Skor_Keseimbangan_F1
BACA,457,10,2,2,0.9745,0.9786,0.9956,0.987
BBHI,109,6,141,213,0.6866,0.9478,0.436,0.5973
BBMD,61,29,219,160,0.4712,0.6778,0.2179,0.3297
BBTN,113,43,103,211,0.6894,0.7244,0.5231,0.6075
BDMN,27,19,177,247,0.583,0.587,0.1324,0.216
BINA,122,17,174,157,0.5936,0.8777,0.4122,0.5609
BJBR,7,9,237,216,0.4755,0.4375,0.0287,0.0538
BJTM,36,9,256,169,0.4362,0.8,0.1233,0.2136
BNGA,38,25,153,253,0.6205,0.6032,0.199,0.2992
BNII,49,3,225,194,0.5159,0.9423,0.1788,0.3006
BRIS,1,3,163,303,0.6468,0.25,0.0061,0.0119
BSIM,111,64,154,142,0.5372,0.6343,0.4189,0.5045
BTPN,37,1,192,241,0.5902,0.9737,0.1616,0.2772
BVIC,128,30,145,167,0.6277,0.8101,0.4689,0.594
INPC,5,7,205,254,0.5499,0.4167,0.0238,0.045
MEGA,88,25,157,200,0.6128,0.7788,0.3592,0.4916
NISP,0,0,191,278,0.5928,0.0,0.0,0.0
PNBN,167,21,95,186,0.7527,0.8883,0.6374,0.7422
