Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih
2020-01-17,314.0,310.0,314.0,,Resistance,314.0,130.0,184.0
2020-01-23,312.0,308.0,312.0,,Resistance,312.0,130.0,182.0
2020-01-30,378.0,316.0,378.0,,Resistance,378.0,130.0,248.0
2020-02-19,348.0,212.0,348.0,212.0,Resistance,348.0,130.0,218.0
2020-03-12,525.0,378.0,525.0,,Resistance,525.0,130.0,395.0
2020-03-18,498.0,420.0,498.0,420.0,Resistance,498.0,130.0,368.0
2020-04-01,560.0,424.0,560.0,,Resistance,560.0,130.0,430.0
2020-04-03,480.0,420.0,480.0,,Resistance,480.0,130.0,350.0
2020-04-16,450.0,394.0,450.0,394.0,Resistance,450.0,130.0,320.0
2020-05-05,450.0,400.0,450.0,400.0,Resistance,450.0,130.0,320.0
2020-05-19,416.0,400.0,416.0,400.0,Resistance,416.0,130.0,286.0
2020-06-19,416.0,402.0,416.0,402.0,Resistance,416.0,130.0,286.0
2020-07-10,382.0,360.0,382.0,,Resistance,382.0,130.0,252.0
2020-07-14,380.0,356.0,380.0,,Resistance,380.0,130.0,250.0
2020-07-17,372.0,362.0,372.0,,Resistance,372.0,130.0,242.0
2020-08-04,426.0,386.0,426.0,386.0,Resistance,426.0,130.0,296.0
2020-08-10,414.0,378.0,414.0,,Resistance,414.0,130.0,284.0
2020-08-24,420.0,372.0,420.0,372.0,Resistance,420.0,130.0,290.0
2020-08-26,402.0,390.0,402.0,,Resistance,402.0,130.0,272.0
2020-08-31,410.0,398.0,410.0,,Resistance,410.0,130.0,280.0
2020-09-07,410.0,398.0,410.0,,Resistance,410.0,130.0,280.0
2020-09-16,400.0,398.0,400.0,,Resistance,400.0,130.0,270.0
2020-09-29,400.0,398.0,400.0,,Resistance,400.0,130.0,270.0
2020-10-20,400.0,398.0,400.0,,Resistance,400.0,130.0,270.0
2020-10-22,410.0,396.0,410.0,,Resistance,410.0,130.0,280.0
2020-11-09,410.0,396.0,410.0,,Resistance,410.0,130.0,280.0
2020-11-16,410.0,396.0,410.0,,Resistance,410.0,130.0,280.0
2020-11-26,410.0,396.0,410.0,,Resistance,410.0,130.0,280.0
2020-12-07,410.0,398.0,410.0,,Resistance,410.0,130.0,280.0
2020-12-22,398.0,392.0,398.0,,Resistance,398.0,130.0,268.0
2021-01-06,426.0,384.0,426.0,,Resistance,426.0,130.0,296.0
2021-01-11,400.0,384.0,400.0,,Resistance,400.0,130.0,270.0
2021-01-18,394.0,388.0,394.0,,Resistance,394.0,130.0,264.0
2021-02-02,400.0,380.0,400.0,,Resistance,400.0,130.0,270.0
2021-02-08,605.0,492.0,605.0,,Resistance,605.0,130.0,475.0
2021-02-11,590.0,446.0,590.0,446.0,Resistance,590.0,130.0,460.0
2021-02-18,825.0,630.0,825.0,,Resistance,825.0,130.0,695.0
2021-02-26,940.0,770.0,940.0,,Resistance,940.0,130.0,810.0
2021-03-03,930.0,790.0,930.0,,Resistance,930.0,130.0,800.0
2021-03-05,840.0,780.0,840.0,,Resistance,840.0,130.0,710.0
2021-03-10,800.0,720.0,800.0,,Resistance,800.0,130.0,670.0
2021-03-15,815.0,760.0,815.0,,Resistance,815.0,130.0,685.0
2021-03-30,590.0,452.0,590.0,452.0,Resistance,590.0,130.0,460.0
2021-04-08,515.0,478.0,515.0,,Resistance,515.0,130.0,385.0
2021-04-14,500.0,474.0,500.0,,Resistance,500.0,130.0,370.0
2021-04-22,488.0,462.0,488.0,,Resistance,488.0,130.0,358.0
2021-05-04,450.0,432.0,450.0,,Resistance,450.0,130.0,320.0
2021-05-19,434.0,384.0,434.0,,Resistance,434.0,130.0,304.0
2021-05-21,448.0,386.0,448.0,386.0,Resistance,448.0,130.0,318.0
2021-06-02,460.0,418.0,460.0,,Resistance,460.0,130.0,330.0
2021-06-11,492.0,430.0,492.0,,Resistance,492.0,130.0,362.0
2021-06-16,426.0,396.0,426.0,,Resistance,426.0,130.0,296.0
2021-06-21,412.0,374.0,412.0,374.0,Resistance,412.0,130.0,282.0
2021-06-23,418.0,398.0,418.0,,Resistance,418.0,130.0,288.0
2021-06-30,432.0,396.0,432.0,,Resistance,432.0,130.0,302.0
2021-07-05,428.0,400.0,428.0,,Resistance,428.0,130.0,298.0
2021-07-08,496.0,438.0,496.0,,Resistance,496.0,130.0,366.0
2021-07-13,488.0,438.0,488.0,,Resistance,488.0,130.0,358.0
2021-07-16,444.0,422.0,444.0,,Resistance,444.0,130.0,314.0
2021-07-22,458.0,432.0,458.0,,Resistance,458.0,130.0,328.0
2021-07-26,444.0,428.0,444.0,,Resistance,444.0,130.0,314.0
2021-07-30,460.0,426.0,460.0,,Resistance,460.0,130.0,330.0
2021-08-04,605.0,494.0,605.0,,Resistance,605.0,130.0,475.0
2021-08-09,645.0,510.0,645.0,,Resistance,645.0,130.0,515.0
2021-08-25,610.0,496.0,610.0,,Resistance,610.0,130.0,480.0
2021-09-06,448.0,432.0,448.0,,Resistance,448.0,130.0,318.0
2021-09-13,456.0,440.0,456.0,,Resistance,456.0,130.0,326.0
2021-09-17,446.0,434.0,446.0,,Resistance,446.0,130.0,316.0
2021-09-22,460.0,398.0,460.0,,Resistance,460.0,130.0,330.0
2021-10-04,334.0,320.0,334.0,,Resistance,334.0,130.0,204.0
2021-10-07,356.0,326.0,356.0,,Resistance,356.0,130.0,226.0
