Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih
2020-01-07,685.0,675.0,685.0,,Resistance,685.0,615.0,70.0
2020-01-22,655.0,580.0,,580.0,Support,580.0,615.0,-35.0
2020-01-29,640.0,625.0,640.0,,Resistance,640.0,615.0,25.0
2020-01-31,635.0,610.0,,610.0,Support,610.0,615.0,-5.0
2020-02-28,620.0,595.0,,595.0,Support,595.0,615.0,-20.0
2020-03-05,635.0,620.0,635.0,,Resistance,635.0,615.0,20.0
2020-03-09,615.0,575.0,,575.0,Support,575.0,615.0,-40.0
2020-03-20,428.0,378.0,,378.0,Support,378.0,615.0,-237.0
2020-03-24,418.0,394.0,,394.0,Support,394.0,615.0,-221.0
2020-03-30,458.0,426.0,,426.0,Support,426.0,615.0,-189.0
2020-04-02,468.0,432.0,,432.0,Support,432.0,615.0,-183.0
2020-04-09,525.0,498.0,,498.0,Support,498.0,615.0,-117.0
2020-04-16,550.0,530.0,,530.0,Support,530.0,615.0,-85.0
2020-04-21,540.0,530.0,,530.0,Support,530.0,615.0,-85.0
2020-05-08,498.0,480.0,,480.0,Support,480.0,615.0,-135.0
2020-06-12,505.0,488.0,,488.0,Support,488.0,615.0,-127.0
2020-07-10,555.0,540.0,,540.0,Support,540.0,615.0,-75.0
2020-07-20,545.0,510.0,,510.0,Support,510.0,615.0,-105.0
2020-07-28,645.0,555.0,645.0,,Resistance,645.0,615.0,30.0
2020-08-27,640.0,580.0,640.0,,Resistance,640.0,615.0,25.0
2020-09-04,585.0,570.0,,570.0,Support,570.0,615.0,-45.0
2020-09-11,570.0,515.0,,515.0,Support,515.0,615.0,-100.0
2020-09-30,515.0,500.0,,500.0,Support,500.0,615.0,-115.0
2020-10-16,575.0,545.0,,545.0,Support,545.0,615.0,-70.0
2020-11-03,580.0,550.0,,550.0,Support,550.0,615.0,-65.0
2020-11-16,630.0,615.0,630.0,,Resistance,630.0,615.0,15.0
2020-11-20,625.0,610.0,625.0,,Resistance,625.0,615.0,10.0
2020-12-10,705.0,660.0,705.0,,Resistance,705.0,615.0,90.0
2020-12-15,800.0,665.0,800.0,,Resistance,800.0,615.0,185.0
2020-12-21,760.0,725.0,760.0,,Resistance,760.0,615.0,145.0
2020-12-29,720.0,690.0,720.0,,Resistance,720.0,615.0,105.0
2021-01-05,710.0,695.0,710.0,,Resistance,710.0,615.0,95.0
2021-01-11,745.0,715.0,745.0,,Resistance,745.0,615.0,130.0
2021-01-26,855.0,785.0,855.0,,Resistance,855.0,615.0,240.0
2021-01-28,805.0,735.0,805.0,,Resistance,805.0,615.0,190.0
2021-02-02,810.0,750.0,810.0,,Resistance,810.0,615.0,195.0
2021-02-09,835.0,775.0,835.0,775.0,Resistance,835.0,615.0,220.0
2021-02-18,825.0,775.0,825.0,775.0,Resistance,825.0,615.0,210.0
2021-02-22,825.0,800.0,825.0,,Resistance,825.0,615.0,210.0
2021-02-25,900.0,850.0,900.0,,Resistance,900.0,615.0,285.0
2021-03-01,870.0,840.0,870.0,,Resistance,870.0,615.0,255.0
2021-03-04,910.0,850.0,910.0,,Resistance,910.0,615.0,295.0
2021-03-12,845.0,830.0,845.0,,Resistance,845.0,615.0,230.0
2021-03-16,885.0,835.0,885.0,,Resistance,885.0,615.0,270.0
2021-03-29,810.0,790.0,810.0,,Resistance,810.0,615.0,195.0
2021-04-09,825.0,785.0,825.0,,Resistance,825.0,615.0,210.0
2021-04-28,815.0,795.0,815.0,,Resistance,815.0,615.0,200.0
2021-05-03,820.0,805.0,820.0,,Resistance,820.0,615.0,205.0
2021-06-14,760.0,745.0,760.0,,Resistance,760.0,615.0,145.0
2021-06-23,740.0,725.0,740.0,,Resistance,740.0,615.0,125.0
2021-07-05,720.0,695.0,720.0,,Resistance,720.0,615.0,105.0
2021-07-13,710.0,700.0,710.0,,Resistance,710.0,615.0,95.0
2021-08-06,750.0,715.0,750.0,,Resistance,750.0,615.0,135.0
2021-08-18,740.0,710.0,740.0,,Resistance,740.0,615.0,125.0
2021-09-13,725.0,710.0,725.0,,Resistance,725.0,615.0,110.0
2021-10-06,770.0,740.0,770.0,,Resistance,770.0,615.0,155.0
2021-10-14,795.0,770.0,795.0,,Resistance,795.0,615.0,180.0
2021-10-18,790.0,770.0,790.0,,Resistance,790.0,615.0,175.0
2021-11-01,785.0,765.0,785.0,,Resistance,785.0,615.0,170.0
2021-11-12,770.0,760.0,770.0,,Resistance,770.0,615.0,155.0
2021-12-07,775.0,760.0,775.0,,Resistance,775.0,615.0,160.0
2021-12-13,770.0,755.0,770.0,,Resistance,770.0,615.0,155.0
2021-12-22,760.0,730.0,760.0,,Resistance,760.0,615.0,145.0
2021-12-30,755.0,740.0,755.0,,Resistance,755.0,615.0,140.0
2022-01-17,750.0,740.0,750.0,,Resistance,750.0,615.0,135.0
2022-01-26,760.0,735.0,760.0,,Resistance,760.0,615.0,145.0
2022-01-31,760.0,745.0,760.0,,Resistance,760.0,615.0,145.0
2022-03-21,830.0,810.0,830.0,,Resistance,830.0,615.0,215.0
2022-03-23,825.0,815.0,825.0,,Resistance,825.0,615.0,210.0
2022-03-25,825.0,815.0,825.0,,Resistance,825.0,615.0,210.0
2022-04-06,790.0,775.0,790.0,,Resistance,790.0,615.0,175.0
2022-04-11,800.0,760.0,800.0,,Resistance,800.0,615.0,185.0
2022-04-13,785.0,760.0,785.0,,Resistance,785.0,615.0,170.0
2022-05-18,770.0,755.0,770.0,,Resistance,770.0,615.0,155.0
2022-06-08,775.0,755.0,775.0,,Resistance,775.0,615.0,160.0
2022-06-16,765.0,750.0,765.0,,Resistance,765.0,615.0,150.0
2022-06-24,770.0,750.0,770.0,,Resistance,770.0,615.0,155.0
2022-07-25,725.0,715.0,725.0,,Resistance,725.0,615.0,110.0
2022-07-28,725.0,715.0,725.0,,Resistance,725.0,615.0,110.0
2022-10-14,710.0,690.0,710.0,,Resistance,710.0,615.0,95.0
2022-11-11,710.0,700.0,710.0,,Resistance,710.0,615.0,95.0
2023-03-06,750.0,740.0,750.0,,Resistance,750.0,615.0,135.0
2023-03-30,745.0,730.0,745.0,,Resistance,745.0,615.0,130.0
2023-04-04,745.0,725.0,745.0,,Resistance,745.0,615.0,130.0
2023-06-05,655.0,645.0,655.0,,Resistance,655.0,615.0,40.0
2023-07-18,670.0,660.0,670.0,,Resistance,670.0,615.0,55.0
2023-08-30,665.0,655.0,665.0,,Resistance,665.0,615.0,50.0
2023-10-25,625.0,610.0,625.0,,Resistance,625.0,615.0,10.0
2023-11-08,625.0,610.0,625.0,,Resistance,625.0,615.0,10.0
2023-12-11,620.0,600.0,,600.0,Support,600.0,615.0,-15.0
