Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih
2019-12-30,1123.18994140625,1101.337890625,1123.18994140625,,Resistance,1123.18994140625,905.0,218.18994140625
2020-01-13,1127.560302734375,1110.0787353515625,1127.560302734375,,Resistance,1127.560302734375,905.0,222.560302734375
2020-02-06,1062.00439453125,1044.52294921875,1062.00439453125,,Resistance,1062.00439453125,905.0,157.00439453125
2020-02-20,1088.226806640625,1062.00439453125,1088.226806640625,,Resistance,1088.226806640625,905.0,183.226806640625
2020-02-26,1079.4859619140625,1044.52294921875,1079.4859619140625,,Resistance,1079.4859619140625,905.0,174.4859619140625
2020-03-06,1171.26416015625,1131.9306640625,1171.26416015625,,Resistance,1171.26416015625,905.0,266.26416015625
2020-03-18,1018.300537109375,970.226318359375,1018.300537109375,,Resistance,1018.300537109375,905.0,113.300537109375
2020-03-24,978.967041015625,830.3738403320312,,830.3738403320312,Support,830.3738403320312,905.0,-74.62615966796875
2020-03-26,1018.300537109375,944.0039672851562,1018.300537109375,,Resistance,1018.300537109375,905.0,113.300537109375
2020-03-30,957.1151123046876,900.300048828125,,900.300048828125,Support,900.300048828125,905.0,-4.699951171875
2020-04-07,1035.7821044921875,987.7078247070312,1035.7821044921875,,Resistance,1035.7821044921875,905.0,130.7821044921875
2020-04-14,1092.59716796875,1044.52294921875,1092.59716796875,,Resistance,1092.59716796875,905.0,187.59716796875
2020-04-20,1114.4490966796875,1070.7452392578125,1114.4490966796875,,Resistance,1114.4490966796875,905.0,209.4490966796875
2020-04-24,1088.226806640625,1057.634033203125,1088.226806640625,1057.634033203125,Resistance,1088.226806640625,905.0,183.226806640625
2020-04-30,1088.226806640625,1075.1156005859375,1088.226806640625,,Resistance,1088.226806640625,905.0,183.226806640625
2020-05-08,1079.4859619140625,1066.3748779296875,1079.4859619140625,,Resistance,1079.4859619140625,905.0,174.4859619140625
2020-05-13,1101.337890625,1079.4859619140625,1101.337890625,,Resistance,1101.337890625,905.0,196.337890625
2020-05-19,1136.301025390625,1101.337890625,1136.301025390625,,Resistance,1136.301025390625,905.0,231.301025390625
2020-05-26,1136.301025390625,1118.8194580078125,1136.301025390625,,Resistance,1136.301025390625,905.0,231.301025390625
2020-06-08,1114.4490966796875,1096.967529296875,1114.4490966796875,,Resistance,1114.4490966796875,905.0,209.4490966796875
2020-06-17,1127.560302734375,1110.0787353515625,1127.560302734375,,Resistance,1127.560302734375,905.0,222.560302734375
2020-07-28,1114.4490966796875,1105.7083740234375,1114.4490966796875,,Resistance,1114.4490966796875,905.0,209.4490966796875
2020-08-10,1096.967529296875,1083.8564453125,1096.967529296875,,Resistance,1096.967529296875,905.0,191.967529296875
2020-08-18,1140.6715087890625,1101.337890625,1140.6715087890625,,Resistance,1140.6715087890625,905.0,235.6715087890625
2020-08-26,1162.5234375,1140.6715087890625,1162.5234375,,Resistance,1162.5234375,905.0,257.5234375
2020-09-10,1162.5234375,1153.7825927734375,1162.5234375,,Resistance,1162.5234375,905.0,257.5234375
2020-09-30,1075.1156005859375,1013.93017578125,1075.1156005859375,,Resistance,1075.1156005859375,905.0,170.1156005859375
2020-10-02,1040.1524658203125,987.7078247070312,1040.1524658203125,,Resistance,1040.1524658203125,905.0,135.1524658203125
2020-10-14,2805.78955078125,2491.12158203125,2805.78955078125,,Resistance,2805.78955078125,905.0,1900.78955078125
2020-10-20,2482.380859375,1879.26708984375,2482.380859375,1879.26708984375,Resistance,2482.380859375,905.0,1577.380859375
2020-11-02,1957.93408203125,1700.0811767578125,1957.93408203125,1700.0811767578125,Resistance,1957.93408203125,905.0,1052.93408203125
2020-11-05,1931.7117919921875,1826.822509765625,1931.7117919921875,,Resistance,1931.7117919921875,905.0,1026.7117919921875
2020-11-11,2045.3419189453125,1940.45263671875,2045.3419189453125,,Resistance,2045.3419189453125,905.0,1140.3419189453125
2020-11-18,2001.6380615234373,1966.6749267578125,2001.6380615234373,,Resistance,2001.6380615234373,905.0,1096.6380615234373
2020-12-03,2220.157470703125,2115.26806640625,2220.157470703125,,Resistance,2220.157470703125,905.0,1315.157470703125
2020-12-10,2281.343017578125,2176.45361328125,2281.343017578125,,Resistance,2281.343017578125,905.0,1376.343017578125
2020-12-15,2622.233154296875,2255.12060546875,2622.233154296875,,Resistance,2622.233154296875,905.0,1717.233154296875
2020-12-23,3277.79150390625,2797.048828125,3277.79150390625,,Resistance,3277.79150390625,905.0,2372.79150390625
2021-01-05,2665.93701171875,2587.27001953125,2665.93701171875,,Resistance,2665.93701171875,905.0,1760.93701171875
2021-01-08,2639.71484375,2569.78857421875,2639.71484375,,Resistance,2639.71484375,905.0,1734.71484375
2021-01-12,2753.344970703125,2578.529296875,2753.344970703125,,Resistance,2753.344970703125,905.0,1848.344970703125
2021-01-26,2622.233154296875,2089.0458984375,2622.233154296875,2089.0458984375,Resistance,2622.233154296875,905.0,1717.233154296875
2021-02-02,2141.490478515625,1879.26708984375,2141.490478515625,1879.26708984375,Resistance,2141.490478515625,905.0,1236.490478515625
2021-02-09,2089.0458984375,1975.4156494140625,2089.0458984375,,Resistance,2089.0458984375,905.0,1184.0458984375
2021-02-16,2316.305908203125,1984.156494140625,2316.305908203125,,Resistance,2316.305908203125,905.0,1411.305908203125
2021-02-18,2316.305908203125,2132.749755859375,2316.305908203125,,Resistance,2316.305908203125,905.0,1411.305908203125
2021-02-23,2141.490478515625,2089.0458984375,2141.490478515625,,Resistance,2141.490478515625,905.0,1236.490478515625
2021-02-25,2228.898193359375,2097.78662109375,2228.898193359375,,Resistance,2228.898193359375,905.0,1323.898193359375
2021-03-04,2097.78662109375,1992.897216796875,2097.78662109375,,Resistance,2097.78662109375,905.0,1192.78662109375
2021-03-09,2150.231201171875,1966.6749267578125,2150.231201171875,1966.6749267578125,Resistance,2150.231201171875,905.0,1245.231201171875
2021-03-22,2027.8603515625,1966.6749267578125,2027.8603515625,,Resistance,2027.8603515625,905.0,1122.8603515625
2021-03-29,1957.93408203125,1888.0079345703125,1957.93408203125,,Resistance,1957.93408203125,905.0,1052.93408203125
2021-04-09,1905.489501953125,1826.822509765625,1905.489501953125,,Resistance,1905.489501953125,905.0,1000.489501953125
2021-04-19,2027.8603515625,1861.7855224609373,2027.8603515625,,Resistance,2027.8603515625,905.0,1122.8603515625
2021-05-06,1949.193359375,1905.489501953125,1949.193359375,,Resistance,1949.193359375,905.0,1044.193359375
2021-05-21,1800.60009765625,1748.155517578125,1800.60009765625,,Resistance,1800.60009765625,905.0,895.60009765625
