Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih
2020-01-02,85.0,74.0,,74.0,Support,74.0,90.0,-16.0
2020-01-06,91.0,79.0,91.0,79.0,Resistance,91.0,90.0,1.0
2020-01-06,91.0,79.0,91.0,79.0,Support,79.0,90.0,-11.0
2020-01-15,77.0,74.0,,74.0,Support,74.0,90.0,-16.0
2020-01-28,71.0,68.0,,68.0,Support,68.0,90.0,-22.0
2020-02-03,72.0,58.0,,58.0,Support,58.0,90.0,-32.0
2020-02-05,73.0,65.0,,65.0,Support,65.0,90.0,-25.0
2020-02-10,67.0,64.0,,64.0,Support,64.0,90.0,-26.0
2020-02-12,65.0,62.0,,62.0,Support,62.0,90.0,-28.0
2020-02-20,66.0,62.0,,62.0,Support,62.0,90.0,-28.0
2020-02-25,65.0,53.0,,53.0,Support,53.0,90.0,-37.0
2020-02-28,57.0,51.0,,51.0,Support,51.0,90.0,-39.0
2020-03-03,65.0,50.0,,50.0,Support,50.0,90.0,-40.0
2020-03-06,64.0,52.0,,52.0,Support,52.0,90.0,-38.0
2020-03-12,59.0,53.0,,53.0,Support,53.0,90.0,-37.0
2020-03-17,59.0,56.0,,56.0,Support,56.0,90.0,-34.0
2020-03-20,59.0,57.0,,57.0,Support,57.0,90.0,-33.0
2020-03-30,59.0,56.0,,56.0,Support,56.0,90.0,-34.0
2020-04-02,58.0,55.0,,55.0,Support,55.0,90.0,-35.0
2020-04-16,58.0,55.0,,55.0,Support,55.0,90.0,-35.0
2020-04-22,56.0,54.0,,54.0,Support,54.0,90.0,-36.0
2020-04-24,56.0,54.0,,54.0,Support,54.0,90.0,-36.0
2020-05-04,57.0,55.0,,55.0,Support,55.0,90.0,-35.0
2020-05-29,71.0,65.0,,65.0,Support,65.0,90.0,-25.0
2020-06-04,72.0,68.0,,68.0,Support,68.0,90.0,-22.0
2020-06-11,70.0,66.0,,66.0,Support,66.0,90.0,-24.0
2020-06-15,70.0,66.0,,66.0,Support,66.0,90.0,-24.0
2020-06-22,70.0,67.0,,67.0,Support,67.0,90.0,-23.0
2020-07-01,67.0,65.0,,65.0,Support,65.0,90.0,-25.0
2020-07-09,69.0,65.0,,65.0,Support,65.0,90.0,-25.0
2020-07-16,70.0,66.0,,66.0,Support,66.0,90.0,-24.0
2020-07-23,63.0,57.0,,57.0,Support,57.0,90.0,-33.0
2020-08-03,62.0,57.0,,57.0,Support,57.0,90.0,-33.0
2020-08-11,65.0,59.0,,59.0,Support,59.0,90.0,-31.0
2020-08-24,71.0,62.0,,62.0,Support,62.0,90.0,-28.0
2020-08-27,71.0,65.0,,65.0,Support,65.0,90.0,-25.0
2020-09-04,69.0,65.0,,65.0,Support,65.0,90.0,-25.0
