Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih
2020-01-02,860.0,840.0,,840.0,Support,840.0,1180.0,-340.0
2020-01-14,850.0,835.0,,835.0,Support,835.0,1180.0,-345.0
2020-02-25,860.0,835.0,,835.0,Support,835.0,1180.0,-345.0
2020-03-12,840.0,800.0,,800.0,Support,800.0,1180.0,-380.0
2020-03-20,830.0,745.0,830.0,745.0,Support,745.0,1180.0,-435.0
2020-03-27,800.0,750.0,,750.0,Support,750.0,1180.0,-430.0
2020-03-31,800.0,750.0,,750.0,Support,750.0,1180.0,-430.0
2020-04-03,800.0,725.0,800.0,725.0,Support,725.0,1180.0,-455.0
2020-04-08,780.0,700.0,,700.0,Support,700.0,1180.0,-480.0
2020-04-13,770.0,745.0,,745.0,Support,745.0,1180.0,-435.0
2020-04-15,765.0,710.0,,710.0,Support,710.0,1180.0,-470.0
2020-04-21,735.0,685.0,,685.0,Support,685.0,1180.0,-495.0
2020-04-27,750.0,700.0,,700.0,Support,700.0,1180.0,-480.0
2020-05-15,710.0,690.0,,690.0,Support,690.0,1180.0,-490.0
2020-05-19,710.0,685.0,710.0,685.0,Support,685.0,1180.0,-495.0
2020-06-15,725.0,700.0,725.0,700.0,Support,700.0,1180.0,-480.0
2020-06-26,740.0,720.0,,720.0,Support,720.0,1180.0,-460.0
2020-07-02,745.0,725.0,,725.0,Support,725.0,1180.0,-455.0
2020-07-09,745.0,725.0,,725.0,Support,725.0,1180.0,-455.0
2020-07-22,730.0,710.0,,710.0,Support,710.0,1180.0,-470.0
2020-07-27,720.0,710.0,,710.0,Support,710.0,1180.0,-470.0
2020-08-03,700.0,685.0,,685.0,Support,685.0,1180.0,-495.0
2020-08-18,720.0,710.0,,710.0,Support,710.0,1180.0,-470.0
2020-09-01,755.0,730.0,,730.0,Support,730.0,1180.0,-450.0
2020-09-10,735.0,695.0,,695.0,Support,695.0,1180.0,-485.0
2020-09-16,750.0,735.0,,735.0,Support,735.0,1180.0,-445.0
2020-09-18,750.0,730.0,,730.0,Support,730.0,1180.0,-450.0
2020-09-25,725.0,710.0,,710.0,Support,710.0,1180.0,-470.0
2020-10-05,730.0,720.0,,720.0,Support,720.0,1180.0,-460.0
2020-10-08,735.0,720.0,,720.0,Support,720.0,1180.0,-460.0
2020-10-22,735.0,725.0,,725.0,Support,725.0,1180.0,-455.0
2020-11-17,730.0,710.0,,710.0,Support,710.0,1180.0,-470.0
2020-12-01,825.0,780.0,,780.0,Support,780.0,1180.0,-400.0
2020-12-03,830.0,810.0,,810.0,Support,810.0,1180.0,-370.0
2020-12-14,895.0,860.0,,860.0,Support,860.0,1180.0,-320.0
2020-12-21,840.0,790.0,840.0,790.0,Support,790.0,1180.0,-390.0
2021-01-07,845.0,795.0,,795.0,Support,795.0,1180.0,-385.0
2021-01-19,890.0,830.0,,830.0,Support,830.0,1180.0,-350.0
2021-01-22,905.0,870.0,,870.0,Support,870.0,1180.0,-310.0
2021-01-28,860.0,800.0,,800.0,Support,800.0,1180.0,-380.0
2021-02-18,860.0,830.0,,830.0,Support,830.0,1180.0,-350.0
2021-02-23,855.0,840.0,,840.0,Support,840.0,1180.0,-340.0
2021-03-05,950.0,860.0,950.0,860.0,Support,860.0,1180.0,-320.0
2021-03-10,910.0,885.0,,885.0,Support,885.0,1180.0,-295.0
2021-03-15,910.0,890.0,,890.0,Support,890.0,1180.0,-290.0
2021-03-25,890.0,875.0,,875.0,Support,875.0,1180.0,-305.0
2021-04-05,890.0,855.0,,855.0,Support,855.0,1180.0,-325.0
2021-04-14,870.0,850.0,,850.0,Support,850.0,1180.0,-330.0
2021-04-29,830.0,810.0,,810.0,Support,810.0,1180.0,-370.0
2021-05-06,810.0,795.0,,795.0,Support,795.0,1180.0,-385.0
2021-05-18,800.0,790.0,,790.0,Support,790.0,1180.0,-390.0
2021-05-24,815.0,795.0,,795.0,Support,795.0,1180.0,-385.0
2021-05-28,810.0,800.0,,800.0,Support,800.0,1180.0,-380.0
2021-06-16,810.0,795.0,,795.0,Support,795.0,1180.0,-385.0
2021-06-21,805.0,770.0,,770.0,Support,770.0,1180.0,-410.0
2021-07-02,775.0,760.0,,760.0,Support,760.0,1180.0,-420.0
2021-07-23,745.0,715.0,745.0,715.0,Support,715.0,1180.0,-465.0
2021-07-29,725.0,710.0,,710.0,Support,710.0,1180.0,-470.0
2021-08-23,715.0,690.0,,690.0,Support,690.0,1180.0,-490.0
2021-08-27,710.0,695.0,,695.0,Support,695.0,1180.0,-485.0
2021-09-01,710.0,695.0,,695.0,Support,695.0,1180.0,-485.0
2021-09-07,710.0,690.0,,690.0,Support,690.0,1180.0,-490.0
2021-09-29,695.0,680.0,,680.0,Support,680.0,1180.0,-500.0
2021-10-04,700.0,670.0,,670.0,Support,670.0,1180.0,-510.0
2021-10-15,725.0,710.0,,710.0,Support,710.0,1180.0,-470.0
2021-10-28,705.0,685.0,,685.0,Support,685.0,1180.0,-495.0
2021-12-01,680.0,655.0,,655.0,Support,655.0,1180.0,-525.0
2022-01-19,640.0,630.0,,630.0,Support,630.0,1180.0,-550.0
2022-01-25,630.0,615.0,,615.0,Support,615.0,1180.0,-565.0
2022-03-08,655.0,625.0,655.0,625.0,Support,625.0,1180.0,-555.0
2022-03-11,645.0,630.0,,630.0,Support,630.0,1180.0,-550.0
2022-04-25,645.0,635.0,,635.0,Support,635.0,1180.0,-545.0
2022-07-14,635.0,620.0,,620.0,Support,620.0,1180.0,-560.0
2022-07-27,630.0,615.0,,615.0,Support,615.0,1180.0,-565.0
2022-08-10,700.0,690.0,,690.0,Support,690.0,1180.0,-490.0
2022-08-29,715.0,700.0,,700.0,Support,700.0,1180.0,-480.0
2022-09-01,760.0,700.0,760.0,700.0,Support,700.0,1180.0,-480.0
