Tanggal,Open,High,Low,Close,Volume,Pivot_High,Pivot_Low
2019-12-26,3975.0,4000.0,3962.5,3975.0,35309200,,
2019-12-27,3975.0,3987.5,3925.0,3962.5,19371400,,
2019-12-30,3975.0,3987.5,3900.0,3925.0,35604600,,
2020-01-02,3937.5,3937.5,3887.5,3887.5,18602600,,
2020-01-03,3900.0,3937.5,3825.0,3900.0,32251400,,
2020-01-06,3875.0,3875.0,3800.0,3812.5,26249200,,
2020-01-07,3837.5,3850.0,3762.5,3775.0,38049800,,
2020-01-08,3750.0,3762.5,3700.0,3712.5,40926800,,3700.0
2020-01-09,3750.0,3850.0,3750.0,3850.0,43770600,,
2020-01-10,3850.0,3912.5,3837.5,3862.5,41985000,3912.5,
2020-01-13,3875.0,3900.0,3850.0,3887.5,24716600,,
2020-01-14,3912.5,3925.0,3862.5,3925.0,40286800,,
2020-01-15,3900.0,3937.5,3825.0,3837.5,35369800,3937.5,
2020-01-16,3837.5,3887.5,3812.5,3850.0,38027400,,3812.5
2020-01-17,3850.0,3887.5,3837.5,3887.5,33630000,,
2020-01-20,3862.5,3900.0,3762.5,3775.0,35184600,3900.0,
2020-01-21,3787.5,3825.0,3750.0,3787.5,32903600,,3750.0
2020-01-22,3812.5,3850.0,3787.5,3812.5,44490400,,
2020-01-23,3812.5,3862.5,3775.0,3825.0,44155400,,3775.0
2020-01-24,3800.0,3887.5,3800.0,3850.0,35702000,3887.5,
2020-01-27,3850.0,3850.0,3725.0,3725.0,28379600,,
2020-01-28,3700.0,3737.5,3650.0,3737.5,42985000,,3650.0
2020-01-29,3737.5,3762.5,3675.0,3675.0,33503800,3762.5,
2020-01-30,3675.0,3712.5,3625.0,3625.0,26904000,,
2020-01-31,3650.0,3650.0,3550.0,3600.0,54195000,,
2020-02-03,3550.0,3650.0,3537.5,3562.5,40300400,,3537.5
2020-02-04,3612.5,3687.5,3587.5,3675.0,39320000,,
2020-02-05,3675.0,3712.5,3625.0,3712.5,32161400,,
2020-02-06,3750.0,3762.5,3675.0,3675.0,33597000,3762.5,
