Tanggal,Open,High,Low,Close,Volume,Pivot_High,Pivot_Low
2019-12-26,535.0,535.0,515.0,525.0,18400,,
2019-12-27,525.0,535.0,525.0,535.0,40900,,
2019-12-30,535.0,585.0,530.0,585.0,2900,585.0,
2020-01-02,530.0,580.0,530.0,580.0,200,,
2020-01-03,580.0,580.0,580.0,580.0,0,,
2020-01-06,580.0,580.0,580.0,580.0,0,,
2020-01-07,530.0,535.0,505.0,535.0,2400,,505.0
2020-01-08,535.0,565.0,535.0,565.0,3200,565.0,
2020-01-09,515.0,545.0,515.0,525.0,8900,,515.0
2020-01-10,535.0,535.0,525.0,535.0,8000,,
2020-01-13,535.0,535.0,520.0,530.0,8900,,520.0
2020-01-14,530.0,530.0,530.0,530.0,0,,
2020-01-15,520.0,520.0,515.0,520.0,6200,,
2020-01-16,505.0,515.0,500.0,515.0,600,,500.0
2020-01-17,515.0,535.0,505.0,535.0,1500,,
2020-01-20,535.0,535.0,535.0,535.0,0,,
2020-01-21,520.0,525.0,520.0,525.0,600,,
2020-01-22,525.0,530.0,505.0,530.0,1000,,505.0
2020-01-23,530.0,530.0,530.0,530.0,600,,
2020-01-24,530.0,530.0,530.0,530.0,0,,
2020-01-27,500.0,510.0,500.0,510.0,4000,,
2020-01-28,500.0,500.0,490.0,494.0,40200,,490.0
2020-01-29,510.0,510.0,500.0,500.0,6200,510.0,
2020-01-30,500.0,500.0,500.0,500.0,100,,
2020-01-31,500.0,500.0,500.0,500.0,0,,
2020-02-03,500.0,500.0,500.0,500.0,0,,
2020-02-04,510.0,510.0,505.0,505.0,500,,
2020-02-05,505.0,510.0,496.0,510.0,1000,,
2020-02-06,510.0,510.0,496.0,510.0,800,,
2020-02-07,510.0,555.0,510.0,555.0,200,,
2020-02-10,555.0,555.0,555.0,555.0,0,,
2020-02-11,555.0,555.0,555.0,555.0,0,,
2020-02-12,525.0,525.0,525.0,525.0,300,,
2020-02-13,520.0,520.0,520.0,520.0,1000,,
2020-02-14,520.0,520.0,500.0,520.0,13200,,500.0
2020-02-17,520.0,520.0,520.0,520.0,100,,
2020-02-18,500.0,520.0,500.0,520.0,300,,500.0
2020-02-19,520.0,520.0,520.0,520.0,0,,
2020-02-20,520.0,520.0,520.0,520.0,0,,
2020-02-21,515.0,515.0,515.0,515.0,6000,,
2020-02-24,505.0,505.0,505.0,505.0,300,,
2020-02-25,480.0,515.0,480.0,515.0,2700,515.0,480.0
2020-02-26,490.0,505.0,490.0,505.0,1600,,
2020-02-27,490.0,500.0,490.0,500.0,1200,,
2020-02-28,500.0,520.0,500.0,520.0,400,,
2020-03-02,520.0,520.0,520.0,520.0,800,,
2020-03-03,520.0,520.0,520.0,520.0,0,,
2020-03-04,520.0,520.0,520.0,520.0,200,,
2020-03-05,520.0,520.0,520.0,520.0,0,,
2020-03-06,520.0,520.0,520.0,520.0,2600,,
2020-03-09,450.0,520.0,450.0,520.0,1500,,450.0
2020-03-10,520.0,520.0,520.0,520.0,0,,
2020-03-11,520.0,520.0,520.0,520.0,0,,
2020-03-12,520.0,520.0,520.0,520.0,100,,
2020-03-13,500.0,515.0,500.0,515.0,400,,500.0
2020-03-16,515.0,515.0,515.0,515.0,0,,
2020-03-17,480.0,510.0,480.0,510.0,400,,
2020-03-18,476.0,492.0,476.0,476.0,9300,,
2020-03-19,474.0,498.0,474.0,498.0,300,,474.0
2020-03-20,510.0,510.0,510.0,510.0,200,,
2020-03-23,515.0,525.0,480.0,480.0,22100,525.0,
2020-03-24,480.0,520.0,480.0,488.0,700,,
2020-03-26,500.0,520.0,482.0,520.0,800,,
2020-03-27,500.0,500.0,490.0,490.0,32100,,
2020-03-30,490.0,505.0,490.0,500.0,4800,505.0,
2020-03-31,500.0,500.0,500.0,500.0,500,,
2020-04-01,500.0,500.0,500.0,500.0,1600,,
2020-04-02,472.0,505.0,472.0,505.0,400,,472.0
2020-04-03,505.0,505.0,505.0,505.0,0,,
2020-04-06,500.0,500.0,500.0,500.0,500,,
2020-04-07,500.0,500.0,500.0,500.0,300,,
2020-04-08,480.0,500.0,480.0,494.0,2500,,480.0
2020-04-09,494.0,494.0,494.0,494.0,100,,
2020-04-13,474.0,494.0,474.0,494.0,1900,,474.0
2020-04-14,500.0,500.0,500.0,500.0,100,,
2020-04-15,500.0,500.0,500.0,500.0,0,,
2020-04-16,500.0,500.0,488.0,488.0,400,,
2020-04-17,500.0,500.0,476.0,494.0,1100,,
2020-04-20,492.0,492.0,460.0,460.0,76000,,
2020-04-21,450.0,486.0,450.0,482.0,500,,450.0
2020-04-22,482.0,490.0,480.0,480.0,3600,490.0,
2020-04-23,480.0,480.0,458.0,478.0,4900,,458.0
2020-04-24,478.0,482.0,478.0,478.0,31100,,
2020-04-27,478.0,490.0,478.0,488.0,900,490.0,
2020-04-28,486.0,486.0,456.0,484.0,9500,,456.0
2020-04-29,484.0,484.0,484.0,484.0,100,,
2020-04-30,484.0,484.0,462.0,480.0,3000,,462.0
2020-05-04,480.0,480.0,480.0,480.0,500,,
2020-05-05,468.0,476.0,456.0,476.0,11800,,456.0
2020-05-06,460.0,476.0,460.0,476.0,4000,,
2020-05-08,474.0,474.0,474.0,474.0,500,,
2020-05-11,474.0,500.0,474.0,500.0,3400,500.0,
2020-05-12,498.0,498.0,496.0,496.0,1600,,
2020-05-13,490.0,490.0,470.0,488.0,3400,,470.0
2020-05-14,488.0,488.0,472.0,486.0,700,,
2020-05-15,480.0,480.0,460.0,480.0,400,,460.0
2020-05-18,480.0,480.0,480.0,480.0,0,,
2020-05-19,460.0,480.0,460.0,468.0,16700,,460.0
2020-05-20,478.0,478.0,468.0,476.0,2700,,
2020-05-26,476.0,476.0,474.0,474.0,2300,,
2020-05-27,458.0,458.0,452.0,458.0,5700,,452.0
2020-05-28,476.0,476.0,476.0,476.0,25500,,
2020-05-29,476.0,476.0,476.0,476.0,0,,
2020-06-02,470.0,470.0,460.0,470.0,25900,,
2020-06-03,470.0,482.0,460.0,478.0,3600,482.0,
2020-06-04,478.0,478.0,462.0,476.0,2800,,
2020-06-05,476.0,496.0,476.0,496.0,2400,,
2020-06-08,496.0,496.0,486.0,486.0,6900,,
2020-06-09,486.0,486.0,474.0,476.0,38600,,
2020-06-10,486.0,486.0,466.0,468.0,500,,466.0
2020-06-11,484.0,484.0,484.0,484.0,500,,
2020-06-12,482.0,490.0,480.0,490.0,106400,,480.0
2020-06-15,490.0,490.0,490.0,490.0,0,,
2020-06-16,490.0,510.0,460.0,505.0,17300,510.0,460.0
2020-06-17,505.0,505.0,478.0,496.0,4500,,
2020-06-18,500.0,500.0,494.0,494.0,11900,,
2020-06-19,494.0,494.0,494.0,494.0,0,,
2020-06-22,492.0,525.0,474.0,525.0,53000,,474.0
2020-06-23,510.0,530.0,490.0,530.0,133100,,
2020-06-24,520.0,530.0,498.0,500.0,20900,,
2020-06-25,500.0,500.0,480.0,500.0,4600,,480.0
2020-06-26,500.0,500.0,500.0,500.0,0,,
