Tanggal,Open,High,Low,Close,Volume,Pivot_High,Pivot_Low
2019-12-26,3300.0,3300.0,3220.0,3220.0,18400,,
2019-12-27,3280.0,3300.0,3270.0,3270.0,8300,,
2019-12-30,3260.0,3270.0,3250.0,3250.0,88000,,
2020-01-02,3250.0,3250.0,3200.0,3250.0,3700,,
2020-01-03,3300.0,3300.0,3200.0,3290.0,11200,3300.0,
2020-01-06,3250.0,3280.0,3240.0,3280.0,12000,,
2020-01-07,3220.0,3240.0,3220.0,3240.0,300,,
2020-01-08,3240.0,3240.0,3200.0,3240.0,1500,,
2020-01-09,3200.0,3240.0,3200.0,3240.0,1800,,
2020-01-10,3240.0,3250.0,3200.0,3250.0,5100,,
2020-01-13,3250.0,3250.0,3180.0,3240.0,59800,,
2020-01-14,3240.0,3240.0,3100.0,3100.0,84900,,
2020-01-15,3110.0,3200.0,3090.0,3200.0,47600,,3090.0
2020-01-16,3150.0,3270.0,3100.0,3170.0,77000,3270.0,
2020-01-17,3170.0,3170.0,3080.0,3110.0,22500,,
2020-01-20,3110.0,3190.0,3010.0,3050.0,60700,3190.0,3010.0
2020-01-21,3100.0,3150.0,3040.0,3040.0,225600,,
2020-01-22,3040.0,3120.0,3040.0,3120.0,2300,,
2020-01-23,3050.0,3110.0,3050.0,3100.0,34900,,
2020-01-24,3090.0,3110.0,3080.0,3110.0,4400,,
2020-01-27,3050.0,3090.0,3030.0,3080.0,12300,,
2020-01-28,3020.0,3060.0,2900.0,2900.0,111200,,2900.0
2020-01-29,2990.0,3050.0,2950.0,2970.0,60300,,
2020-01-30,2970.0,3060.0,2970.0,3060.0,2300,3060.0,
2020-01-31,3000.0,3000.0,2900.0,2910.0,37900,,
2020-02-03,2910.0,2980.0,2900.0,2980.0,10100,,
2020-02-04,2980.0,2990.0,2940.0,2940.0,33300,2990.0,
2020-02-05,2940.0,2980.0,2910.0,2980.0,15200,,
2020-02-06,2980.0,2980.0,2890.0,2960.0,16200,,2890.0
2020-02-07,2960.0,2970.0,2940.0,2940.0,9000,,
2020-02-10,2930.0,2940.0,2870.0,2940.0,6100,,
2020-02-11,2970.0,2970.0,2830.0,2920.0,48300,,2830.0
2020-02-12,2920.0,2970.0,2920.0,2950.0,11700,,
2020-02-13,2920.0,2920.0,2850.0,2880.0,15700,,
2020-02-14,2800.0,2930.0,2770.0,2930.0,8400,,2770.0
2020-02-17,2930.0,2930.0,2850.0,2930.0,1500,,
2020-02-18,2850.0,2930.0,2850.0,2920.0,7900,,
2020-02-19,2920.0,2960.0,2920.0,2960.0,8800,,
2020-02-20,2960.0,2960.0,2930.0,2940.0,3000,,
2020-02-21,2930.0,2930.0,2870.0,2920.0,4700,,
2020-02-24,2870.0,2890.0,2820.0,2890.0,31900,,2820.0
2020-02-25,2850.0,2850.0,2840.0,2850.0,8300,,
2020-02-26,2850.0,2850.0,2830.0,2850.0,1900,,
2020-02-27,2810.0,2810.0,2760.0,2790.0,9000,,
2020-02-28,2730.0,2730.0,2610.0,2710.0,56300,,
2020-03-02,2650.0,2690.0,2570.0,2680.0,45200,,2570.0
2020-03-03,2680.0,2690.0,2650.0,2670.0,22700,,
2020-03-04,2670.0,2770.0,2670.0,2770.0,114300,,
2020-03-05,2770.0,2800.0,2650.0,2700.0,45600,2800.0,
2020-03-06,2700.0,2700.0,2630.0,2690.0,56400,,
2020-03-09,2610.0,2610.0,2500.0,2560.0,22400,,
2020-03-10,2560.0,2560.0,2500.0,2530.0,18500,,
2020-03-11,2530.0,2530.0,2380.0,2440.0,91100,,
2020-03-12,2400.0,2400.0,2200.0,2200.0,116800,,
2020-03-13,2200.0,2200.0,2200.0,2200.0,0,,
2020-03-16,2060.0,2060.0,1920.0,1950.0,30400,,
2020-03-17,1950.0,1950.0,1820.0,1820.0,12900,,
2020-03-18,1820.0,1820.0,1730.0,1730.0,22300,,
2020-03-19,1730.0,1730.0,1610.0,1725.0,19500,,
2020-03-20,1700.0,1700.0,1605.0,1670.0,29200,,
2020-03-23,1670.0,1995.0,1585.0,1605.0,33100,1995.0,1585.0
2020-03-24,1605.0,1990.0,1605.0,1795.0,26800,,
2020-03-26,1850.0,1900.0,1800.0,1860.0,72200,,
