Tanggal,Open,High,Low,Close,Volume
2019-12-26,6660.0,6725.0,6660.0,6680.0,38188500
2019-12-27,6670.0,6700.0,6670.0,6695.0,29945000
2019-12-30,6680.0,6720.0,6670.0,6685.0,61168000
2020-01-02,6695.0,6780.0,6680.0,6690.0,49445000
2020-01-03,6750.0,6800.0,6725.0,6800.0,47755500
2020-01-06,6720.0,6750.0,6690.0,6735.0,27300000
2020-01-07,6735.0,6770.0,6730.0,6740.0,45022500
2020-01-08,6670.0,6745.0,6670.0,6680.0,53692500
2020-01-09,6740.0,6755.0,6730.0,6740.0,40363500
2020-01-10,6765.0,6825.0,6710.0,6725.0,73362000
2020-01-13,6740.0,6760.0,6735.0,6745.0,67855000
2020-01-14,6745.0,6885.0,6740.0,6870.0,93582000
2020-01-15,6870.0,7060.0,6800.0,6835.0,75623500
2020-01-16,6805.0,6890.0,6795.0,6850.0,88931500
2020-01-17,6840.0,6890.0,6800.0,6875.0,38249500
2020-01-20,6950.0,6975.0,6830.0,6835.0,93554500
2020-01-21,6885.0,6895.0,6825.0,6830.0,103984500
2020-01-22,6855.0,6895.0,6835.0,6840.0,94311500
2020-01-23,6885.0,6895.0,6830.0,6840.0,87728000
2020-01-24,6820.0,6880.0,6810.0,6810.0,69653500
2020-01-27,6865.0,6940.0,6815.0,6840.0,39679000
2020-01-28,6835.0,6845.0,6755.0,6790.0,82615000
2020-01-29,6800.0,6845.0,6770.0,6785.0,43821000
2020-01-30,6845.0,6845.0,6730.0,6740.0,71990000
2020-01-31,6800.0,6805.0,6480.0,6480.0,163136500
2020-02-03,6480.0,6585.0,6370.0,6440.0,149797000
2020-02-04,6570.0,6620.0,6520.0,6600.0,113316500
2020-02-05,6780.0,6780.0,6650.0,6730.0,123002500
2020-02-06,6740.0,6780.0,6680.0,6740.0,154693500
2020-02-07,6710.0,6780.0,6705.0,6760.0,82609000
2020-02-10,6760.0,6785.0,6630.0,6785.0,66578500
2020-02-11,6785.0,6785.0,6745.0,6780.0,77526500
2020-02-12,6800.0,6800.0,6760.0,6800.0,69971500
2020-02-13,6820.0,6820.0,6740.0,6790.0,49737000
2020-02-14,6780.0,6795.0,6675.0,6680.0,147028500
2020-02-17,6680.0,6750.0,6680.0,6720.0,115319000
2020-02-18,6685.0,6720.0,6670.0,6695.0,98436500
2020-02-19,6665.0,6760.0,6665.0,6695.0,74594000
2020-02-20,6690.0,6695.0,6565.0,6595.0,136724500
2020-02-21,6600.0,6660.0,6595.0,6615.0,98261000
2020-02-24,6565.0,6600.0,6510.0,6525.0,84910000
2020-02-25,6550.0,6560.0,6510.0,6530.0,86446500
2020-02-26,6500.0,6535.0,6420.0,6420.0,92824500
2020-02-27,6470.0,6475.0,6200.0,6290.0,129254500
2020-02-28,6200.0,6290.0,6035.0,6290.0,169946500
2020-03-02,6290.0,6290.0,6035.0,6080.0,144871500
2020-03-03,6200.0,6350.0,6200.0,6320.0,114663500
2020-03-04,6315.0,6500.0,6260.0,6440.0,83025000
2020-03-05,6540.0,6540.0,6340.0,6435.0,77583000
2020-03-06,6350.0,6350.0,6200.0,6200.0,77835500
2020-03-09,6000.0,6040.0,5785.0,5785.0,140889500
2020-03-10,5840.0,6010.0,5840.0,5925.0,133667000
2020-03-11,5950.0,5980.0,5790.0,5850.0,93204500
2020-03-12,5600.0,5640.0,5460.0,5560.0,129845500
2020-03-13,5560.0,5560.0,5560.0,5560.0,0
2020-03-16,5560.0,5560.0,5560.0,5560.0,0
2020-03-17,5495.0,5505.0,5120.0,5120.0,212200000
2020-03-18,5120.0,5380.0,4765.0,5000.0,180053500
2020-03-19,4995.0,4995.0,4650.0,4650.0,264419000
2020-03-20,4600.0,5385.0,4325.0,4735.0,335132000
