Tanggal,Open,High,Low,Close,Volume
2019-12-26,2390.0,2390.0,2390.0,2390.0,0
2019-12-27,2390.0,2390.0,2390.0,2390.0,0
2019-12-30,2800.0,2800.0,2800.0,2800.0,900
2020-01-02,2800.0,2800.0,2800.0,2800.0,0
2020-01-03,2810.0,2810.0,2810.0,2810.0,200
2020-01-06,2810.0,2810.0,2810.0,2810.0,0
2020-01-07,2400.0,2550.0,2400.0,2400.0,20500
2020-01-08,2400.0,2400.0,2400.0,2400.0,0
2020-01-09,2390.0,2390.0,2390.0,2390.0,100
2020-01-10,2380.0,2380.0,2380.0,2380.0,100
2020-01-13,2380.0,2380.0,2380.0,2380.0,0
2020-01-14,2380.0,2380.0,2380.0,2380.0,0
2020-01-15,2380.0,2380.0,2380.0,2380.0,0
2020-01-16,2380.0,2380.0,2380.0,2380.0,0
2020-01-17,2380.0,2380.0,2380.0,2380.0,0
2020-01-20,2380.0,2380.0,2380.0,2380.0,0
2020-01-21,2380.0,2380.0,2380.0,2380.0,0
2020-01-22,2380.0,2380.0,2380.0,2380.0,0
2020-01-23,2380.0,2380.0,2380.0,2380.0,0
2020-01-24,2380.0,2380.0,2380.0,2380.0,0
2020-01-27,2380.0,2380.0,2380.0,2380.0,0
2020-01-28,2380.0,2380.0,2380.0,2380.0,0
2020-01-29,2340.0,2340.0,2340.0,2340.0,100
2020-01-30,2340.0,2340.0,2340.0,2340.0,0
2020-01-31,2340.0,2340.0,2340.0,2340.0,0
2020-02-03,2340.0,2340.0,2340.0,2340.0,0
2020-02-04,2340.0,2340.0,2340.0,2340.0,0
2020-02-05,2340.0,2340.0,2340.0,2340.0,0
2020-02-06,2340.0,2340.0,2340.0,2340.0,0
2020-02-07,2340.0,2340.0,2340.0,2340.0,0
2020-02-10,2340.0,2340.0,2340.0,2340.0,0
2020-02-11,2340.0,2340.0,2340.0,2340.0,0
2020-02-12,2340.0,2340.0,2340.0,2340.0,0
2020-02-13,2340.0,2340.0,2340.0,2340.0,0
2020-02-14,2340.0,2340.0,2340.0,2340.0,0
2020-02-17,2340.0,2340.0,2340.0,2340.0,0
2020-02-18,2340.0,2340.0,2340.0,2340.0,0
2020-02-19,2340.0,2340.0,2340.0,2340.0,0
2020-02-20,2340.0,2340.0,2340.0,2340.0,0
2020-02-21,2340.0,2340.0,2340.0,2340.0,0
2020-02-24,2340.0,2340.0,2340.0,2340.0,0
2020-02-25,2340.0,2340.0,2340.0,2340.0,0
2020-02-26,2340.0,2340.0,2340.0,2340.0,0
2020-02-27,2340.0,2340.0,2340.0,2340.0,0
2020-02-28,1755.0,1755.0,1755.0,1755.0,100
2020-03-02,1755.0,1755.0,1755.0,1755.0,0
2020-03-03,1755.0,1755.0,1755.0,1755.0,600
2020-03-04,1755.0,2180.0,1755.0,2180.0,1600
2020-03-05,2180.0,2690.0,2180.0,2690.0,200
2020-03-06,2690.0,2690.0,2690.0,2690.0,0
2020-03-09,2690.0,2690.0,2690.0,2690.0,0
