Tanggal,Open,High,Low,Close,Volume
2019-12-26,4100.0,4140.0,4060.0,4090.0,3675800
2019-12-27,4090.0,4090.0,4030.0,4050.0,4458000
2019-12-30,4060.0,4060.0,3950.0,3950.0,5828300
2020-01-02,3950.0,3990.0,3920.0,3960.0,1140900
2020-01-03,3980.0,3980.0,3900.0,3930.0,1382100
2020-01-06,3930.0,3930.0,3830.0,3860.0,3564000
2020-01-07,3850.0,3900.0,3850.0,3870.0,1456200
2020-01-08,3860.0,3860.0,3810.0,3810.0,1340100
2020-01-09,3890.0,3900.0,3800.0,3810.0,1393200
2020-01-10,3820.0,3900.0,3800.0,3850.0,2749100
2020-01-13,3850.0,3950.0,3850.0,3860.0,3760300
2020-01-14,3890.0,4110.0,3880.0,4070.0,9869700
2020-01-15,4090.0,4130.0,3960.0,3970.0,5421300
2020-01-16,3970.0,4040.0,3920.0,3980.0,2598400
2020-01-17,3990.0,4000.0,3930.0,3950.0,1146800
2020-01-20,3950.0,3970.0,3860.0,3880.0,1867900
2020-01-21,3900.0,3900.0,3850.0,3870.0,937100
2020-01-22,3870.0,3930.0,3850.0,3860.0,1352800
2020-01-23,3900.0,3900.0,3830.0,3840.0,1190100
2020-01-24,3840.0,3920.0,3830.0,3830.0,1733200
2020-01-27,3810.0,3880.0,3750.0,3770.0,1801000
2020-01-28,3770.0,3780.0,3660.0,3720.0,1191300
2020-01-29,3720.0,3770.0,3680.0,3680.0,950300
2020-01-30,3680.0,3700.0,3600.0,3600.0,2397600
2020-01-31,3610.0,3630.0,3480.0,3480.0,2324500
2020-02-03,3500.0,3550.0,3400.0,3470.0,1022700
2020-02-04,3500.0,3500.0,3420.0,3430.0,666000
2020-02-05,3430.0,3480.0,3420.0,3460.0,1245800
2020-02-06,3500.0,3600.0,3480.0,3590.0,2173100
2020-02-07,3600.0,3620.0,3570.0,3580.0,682300
2020-02-10,3580.0,3580.0,3420.0,3420.0,1115700
2020-02-11,3430.0,3470.0,3420.0,3420.0,854000
2020-02-12,3420.0,3430.0,3380.0,3380.0,1239700
2020-02-13,3380.0,3440.0,3380.0,3380.0,750800
2020-02-14,3380.0,3430.0,3380.0,3400.0,1049500
2020-02-17,3400.0,3470.0,3400.0,3460.0,1327800
2020-02-18,3460.0,3560.0,3460.0,3550.0,1612800
2020-02-19,3550.0,3590.0,3520.0,3590.0,759700
2020-02-20,3600.0,3770.0,3600.0,3740.0,2430400
2020-02-21,3750.0,3770.0,3650.0,3660.0,1473600
2020-02-24,3630.0,3670.0,3450.0,3480.0,1292500
2020-02-25,3470.0,3500.0,3410.0,3430.0,1328800
2020-02-26,3430.0,3460.0,3360.0,3380.0,1511500
2020-02-27,3370.0,3390.0,3250.0,3300.0,2884900
2020-02-28,3250.0,3250.0,3110.0,3170.0,2568000
2020-03-02,3170.0,3290.0,3110.0,3170.0,1505300
2020-03-03,3210.0,3260.0,3190.0,3260.0,1470000
2020-03-04,3250.0,3320.0,3230.0,3260.0,2319500
2020-03-05,3290.0,3320.0,3170.0,3170.0,3055000
2020-03-06,3100.0,3170.0,3100.0,3120.0,1502000
2020-03-09,3100.0,3100.0,2790.0,2800.0,3397500
2020-03-10,2850.0,2910.0,2770.0,2780.0,6049100
2020-03-11,2800.0,2820.0,2510.0,2570.0,3336400
2020-03-12,2450.0,2450.0,2320.0,2320.0,4079400
2020-03-13,2320.0,2320.0,2320.0,2320.0,0
2020-03-16,2320.0,2320.0,2320.0,2320.0,0
2020-03-17,2150.0,2150.0,2010.0,2010.0,6804400
2020-03-18,2000.0,2030.0,1870.0,1870.0,5013200
2020-03-19,1755.0,1790.0,1740.0,1740.0,2612300
2020-03-20,1675.0,1825.0,1620.0,1760.0,6025000
2020-03-23,1670.0,1735.0,1640.0,1710.0,8849200
2020-03-24,1670.0,1785.0,1645.0,1675.0,5397400
2020-03-26,1680.0,2010.0,1680.0,1950.0,4874200
2020-03-27,2000.0,2300.0,2000.0,2060.0,9291900
2020-03-30,1980.0,2050.0,1920.0,1945.0,10061500
2020-03-31,1985.0,2140.0,1985.0,2090.0,6540200
2020-04-01,2110.0,2180.0,2000.0,2110.0,10610700
2020-04-02,1965.0,2040.0,1965.0,2010.0,9807200
2020-04-03,2010.0,2030.0,1985.0,2030.0,5492600
2020-04-06,2060.0,2330.0,2020.0,2300.0,9291300
2020-04-07,2350.0,2440.0,2170.0,2240.0,6490300
2020-04-08,2200.0,2200.0,2090.0,2090.0,3529300
2020-04-09,2120.0,2130.0,2010.0,2100.0,1895600
2020-04-13,2100.0,2280.0,2040.0,2240.0,5211600
2020-04-14,2280.0,2300.0,2170.0,2250.0,2460900
2020-04-15,2260.0,2300.0,2160.0,2160.0,4727400
2020-04-16,2150.0,2170.0,2050.0,2090.0,2400700
2020-04-17,2120.0,2280.0,2120.0,2250.0,5252400
2020-04-20,2270.0,2310.0,2170.0,2240.0,2727100
2020-04-21,2210.0,2240.0,2160.0,2230.0,1663100
2020-04-22,2190.0,2300.0,2180.0,2290.0,2450400
2020-04-23,2300.0,2410.0,2270.0,2410.0,4385600
2020-04-24,2440.0,2570.0,2340.0,2420.0,7274900
2020-04-27,2450.0,2480.0,2360.0,2460.0,1872200
2020-04-28,2450.0,2500.0,2410.0,2480.0,1838800
2020-04-29,2480.0,2520.0,2420.0,2480.0,1745300
2020-04-30,2500.0,2530.0,2450.0,2490.0,4187000
2020-05-04,2470.0,2490.0,2420.0,2480.0,2601900
2020-05-05,2500.0,2540.0,2440.0,2500.0,2381000
2020-05-06,2500.0,2540.0,2460.0,2480.0,1333600
2020-05-08,2500.0,2500.0,2470.0,2490.0,768700
2020-05-11,2490.0,2520.0,2470.0,2470.0,1268800
2020-05-12,2480.0,2500.0,2410.0,2420.0,2020700
2020-05-13,2420.0,2490.0,2340.0,2380.0,1406800
2020-05-14,2360.0,2420.0,2310.0,2330.0,1056500
2020-05-15,2330.0,2360.0,2240.0,2330.0,1122100
2020-05-18,2360.0,2390.0,2310.0,2310.0,1056900
2020-05-19,2350.0,2370.0,2320.0,2340.0,398600
2020-05-20,2400.0,2400.0,2320.0,2390.0,730100
2020-05-26,2400.0,2520.0,2400.0,2510.0,2445400
2020-05-27,2540.0,2540.0,2500.0,2530.0,1253900
2020-05-28,2520.0,2590.0,2520.0,2560.0,2176800
2020-05-29,2560.0,2560.0,2430.0,2440.0,3245000
