Tanggal,Open,High,Low,Close,Volume
2019-12-26,960.0,985.0,950.0,985.0,10541500
2019-12-27,985.0,1005.0,980.0,985.0,7331100
2019-12-30,985.0,990.0,960.0,965.0,3258800
2020-01-02,970.0,975.0,960.0,965.0,470600
2020-01-03,965.0,970.0,950.0,955.0,4552500
2020-01-06,950.0,955.0,930.0,940.0,2230900
2020-01-07,940.0,950.0,935.0,950.0,1018900
2020-01-08,950.0,960.0,930.0,955.0,15143100
2020-01-09,960.0,965.0,950.0,960.0,2679100
2020-01-10,960.0,980.0,950.0,975.0,2858300
2020-01-13,980.0,980.0,960.0,965.0,8932300
2020-01-14,965.0,975.0,960.0,960.0,2068500
2020-01-15,960.0,965.0,950.0,950.0,1116600
2020-01-16,955.0,955.0,940.0,945.0,1788300
2020-01-17,945.0,950.0,935.0,935.0,2880600
2020-01-20,935.0,945.0,930.0,935.0,923900
2020-01-21,935.0,950.0,930.0,940.0,874700
2020-01-22,940.0,940.0,920.0,930.0,1876100
2020-01-23,935.0,940.0,935.0,935.0,793800
2020-01-24,935.0,960.0,930.0,950.0,2078000
2020-01-27,945.0,945.0,915.0,925.0,2012900
2020-01-28,925.0,925.0,905.0,910.0,3073200
2020-01-29,910.0,925.0,910.0,915.0,931700
2020-01-30,925.0,925.0,895.0,900.0,2313600
2020-01-31,900.0,910.0,885.0,895.0,1626000
2020-02-03,895.0,900.0,870.0,880.0,3057500
2020-02-04,880.0,905.0,875.0,900.0,3148100
2020-02-05,905.0,915.0,895.0,900.0,467200
2020-02-06,905.0,915.0,885.0,890.0,4893200
2020-02-07,890.0,900.0,875.0,875.0,2948300
2020-02-10,875.0,885.0,835.0,840.0,10392200
2020-02-11,840.0,850.0,825.0,835.0,4940400
2020-02-12,840.0,840.0,820.0,820.0,3185600
2020-02-13,820.0,840.0,800.0,805.0,6113700
2020-02-14,800.0,820.0,800.0,815.0,2471700
2020-02-17,815.0,840.0,810.0,830.0,4719700
2020-02-18,840.0,855.0,825.0,840.0,1937000
2020-02-19,845.0,880.0,845.0,870.0,1867500
2020-02-20,880.0,900.0,870.0,870.0,3868500
2020-02-21,870.0,875.0,835.0,840.0,2501200
2020-02-24,840.0,850.0,815.0,825.0,591900
