Tanggal,Open,High,Low,Close,Volume
2019-12-26,1305.0,1325.0,1295.0,1320.0,883500
2019-12-27,1320.0,1320.0,1290.0,1290.0,842400
2019-12-30,1290.0,1335.0,1290.0,1335.0,6472500
2020-01-02,1335.0,1370.0,1310.0,1370.0,4365700
2020-01-03,1380.0,1400.0,1325.0,1340.0,3589100
2020-01-06,1330.0,1360.0,1310.0,1320.0,1335200
2020-01-07,1320.0,1345.0,1300.0,1320.0,750200
2020-01-08,1320.0,1320.0,1275.0,1275.0,1709200
2020-01-09,1275.0,1310.0,1275.0,1305.0,1528000
2020-01-10,1310.0,1315.0,1285.0,1295.0,1052200
2020-01-13,1295.0,1300.0,1280.0,1300.0,1474800
2020-01-14,1300.0,1300.0,1280.0,1290.0,1155000
2020-01-15,1295.0,1300.0,1235.0,1240.0,2623600
2020-01-16,1240.0,1250.0,1220.0,1225.0,3606600
2020-01-17,1225.0,1255.0,1220.0,1250.0,1156100
2020-01-20,1250.0,1260.0,1225.0,1230.0,1049300
2020-01-21,1230.0,1235.0,1205.0,1210.0,888900
2020-01-22,1210.0,1210.0,1185.0,1195.0,1180700
2020-01-23,1210.0,1210.0,1185.0,1185.0,1622400
2020-01-24,1185.0,1220.0,1185.0,1210.0,901800
2020-01-27,1210.0,1210.0,1165.0,1190.0,2820800
2020-01-28,1180.0,1190.0,1165.0,1175.0,1579600
2020-01-29,1185.0,1195.0,1165.0,1165.0,1440900
2020-01-30,1165.0,1165.0,1140.0,1150.0,1616400
2020-01-31,1145.0,1170.0,1145.0,1160.0,2100100
2020-02-03,1160.0,1160.0,1115.0,1125.0,3383600
2020-02-04,1130.0,1135.0,1110.0,1130.0,566800
2020-02-05,1130.0,1215.0,1130.0,1210.0,16944000
2020-02-06,1235.0,1245.0,1185.0,1195.0,5274200
2020-02-07,1200.0,1215.0,1180.0,1185.0,1052900
2020-02-10,1175.0,1175.0,1140.0,1145.0,5043500
2020-02-11,1160.0,1160.0,1135.0,1135.0,6445200
2020-02-12,1145.0,1175.0,1145.0,1160.0,4159500
2020-02-13,1165.0,1175.0,1110.0,1125.0,11324100
2020-02-14,1125.0,1190.0,1125.0,1185.0,6610900
2020-02-17,1200.0,1210.0,1165.0,1205.0,4571500
2020-02-18,1210.0,1250.0,1180.0,1200.0,8530600
2020-02-19,1165.0,1235.0,1165.0,1220.0,5492600
2020-02-20,1220.0,1240.0,1220.0,1230.0,2865000
2020-02-21,1225.0,1230.0,1200.0,1210.0,3948700
2020-02-24,1200.0,1200.0,1175.0,1175.0,3210100
2020-02-25,1160.0,1180.0,1155.0,1175.0,280800
2020-02-26,1180.0,1180.0,1150.0,1155.0,1499900
2020-02-27,1165.0,1165.0,1080.0,1125.0,4699100
