Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,-253,628,187,14.69,32
Resistance,-415,942,263,22.62,19
Resistance,-191,885,347,17.93,23
Resistance,-512,1418,453,32.16,16
Resistance,-44,1159,557,20.04,21
Resistance,-209,1457,624,27.76,21
Resistance,-163,1639,738,30.03,12
Resistance,-244,1941,848,36.42,6
Resistance,-135,2090,978,37.08,4
Resistance,-1514,4061,1273,92.92,3
Support,49,133,91,1.41,2
Support,83,118,100,0.58,3
Support,67,151,109,1.41,2
Support,115,115,115,0.0,1
Support,39,213,126,2.9,10
Support,90,179,134,1.48,5
Support,52,233,142,3.03,12
Support,99,209,154,1.84,11
Support,160,160,160,0.0,2
Support,121,213,167,1.55,6
