Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,-102,605,252,11.77,33
Resistance,-57,657,300,11.9,21
Resistance,68,609,339,9.02,18
Resistance,93,652,373,9.3,8
Resistance,205,616,410,6.86,6
Resistance,171,710,440,8.98,7
Resistance,56,904,480,14.14,2
Resistance,265,824,544,9.32,7
Resistance,113,1104,609,16.52,4
Resistance,98,1312,705,20.25,6
Support,79,212,146,2.22,4
Support,111,204,157,1.55,8
Support,93,235,164,2.38,7
Support,126,217,171,1.53,3
Support,169,212,191,0.71,2
Support,162,228,195,1.1,5
Support,174,234,204,1.0,4
Support,168,252,210,1.41,5
Support,175,258,216,1.38,7
Support,168,276,222,1.79,6
