Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,-64,251,93,5.24,6
Resistance,27,207,117,3.0,8
Resistance,27,229,128,3.37,8
Resistance,37,242,139,3.41,11
Resistance,11,296,154,4.75,7
Resistance,14,327,171,5.22,5
Resistance,51,323,187,4.55,7
Resistance,118,276,197,2.65,3
Resistance,220,220,220,0.0,1
Resistance,246,246,246,0.0,1
Support,33,68,50,0.58,3
Support,35,70,53,0.58,3
Support,39,72,56,0.55,5
Support,36,81,59,0.75,6
Support,37,87,62,0.84,5
Support,50,80,65,0.5,4
Support,51,84,68,0.55,5
Support,52,87,70,0.58,3
Support,56,91,74,0.58,3
Support,80,80,80,0.0,1
