Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,143,627,385,8.07,10
Resistance,248,579,413,5.52,11
Resistance,189,694,442,8.4,8
Resistance,237,701,469,7.73,10
Resistance,318,676,497,5.96,10
Resistance,296,749,522,7.56,8
Resistance,124,990,557,14.43,3
Resistance,139,1107,623,16.14,13
Resistance,387,955,671,9.46,4
Resistance,641,854,748,3.54,2
Support,-69,358,144,7.13,5
Support,62,275,168,3.54,2
Support,94,267,181,2.88,31
Support,40,352,196,5.2,9
Support,138,302,220,2.73,9
Support,136,330,233,3.24,7
Support,142,362,252,3.67,17
Support,132,408,270,4.6,18
Support,96,507,302,6.86,6
Support,155,548,352,6.54,5
