Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,1050,1223,1137,2.89,3
Resistance,918,1419,1169,8.35,8
Resistance,915,1540,1228,10.41,4
Resistance,1280,1280,1280,0.0,1
Resistance,1123,1547,1335,7.07,2
Resistance,996,1844,1420,14.14,2
Resistance,583,2492,1538,31.82,2
Resistance,1274,1911,1592,10.61,2
Resistance,1650,1650,1650,0.0,1
Resistance,1271,2119,1695,14.14,2
Support,260,260,260,0.0,1
Support,-59,716,329,12.91,8
Support,-122,890,384,16.87,23
Support,88,843,466,12.57,17
Support,45,1029,537,16.41,24
Support,10,1176,593,19.43,27
Support,-83,1435,676,25.31,19
Support,226,1541,884,21.92,17
Support,249,1741,995,24.86,15
Support,397,1752,1074,22.57,16
