Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,501,952,727,7.53,6
Resistance,493,1012,752,8.66,4
Resistance,466,1091,778,10.41,3
Resistance,825,825,825,0.0,1
Resistance,870,870,870,0.0,2
Resistance,940,940,940,0.0,1
Resistance,700,1300,1000,10.0,3
Resistance,1030,1030,1030,0.0,2
Resistance,746,1371,1058,10.41,3
Resistance,1200,1200,1200,0.0,1
Support,-104,539,218,10.71,5
Support,-177,756,290,15.55,19
Support,-5,693,344,11.63,31
Support,104,650,377,9.09,27
Support,231,613,422,6.37,7
Support,179,720,450,9.01,13
Support,212,754,483,9.04,12
Support,68,985,527,15.28,3
Support,214,1039,626,13.76,7
Support,280,1074,677,13.23,9
