Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,388,388,388,0.0,1
Resistance,238,584,411,5.76,5
Resistance,399,468,433,1.15,3
Resistance,117,869,493,12.53,3
Resistance,530,530,530,0.0,1
Resistance,375,722,548,5.77,3
Resistance,339,797,568,7.64,3
Resistance,507,680,593,2.89,3
Resistance,625,625,625,0.0,1
Resistance,665,665,665,0.0,1
Support,-127,258,66,6.42,5
Support,-48,231,91,4.64,52
Support,-30,259,114,4.81,16
Support,-80,345,133,7.09,9
Support,-40,362,161,6.69,24
Support,-101,475,187,9.6,20
Support,-102,617,257,11.97,16
Support,95,482,288,6.44,11
Support,69,559,314,8.16,12
Support,-114,834,360,15.8,6
