Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,5180,10673,7927,91.55,13
Resistance,5006,11523,8264,108.63,14
Resistance,4417,12954,8685,142.29,29
Resistance,4633,13919,9276,154.76,29
Resistance,3090,16889,9990,229.98,12
Resistance,5243,16441,10842,186.63,13
Resistance,8301,15065,11683,112.73,3
Support,3020,3020,3020,0.0,1
Support,-1245,9088,3922,172.21,6
Support,1046,7602,4324,109.26,10
Support,-1190,10894,4852,201.4,11
Support,1777,10492,6135,145.25,13
Support,1742,11884,6813,169.03,23
Support,2625,12217,7421,159.86,25
