Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,657,4713,2685,67.61,8
Resistance,1437,4414,2926,49.61,18
Resistance,1939,4262,3101,38.72,12
Resistance,2205,4279,3242,34.58,10
Resistance,2053,4783,3418,45.5,5
Resistance,1208,6330,3769,85.36,9
Resistance,3152,4818,3985,27.77,8
Resistance,2296,6028,4162,62.21,5
Support,-2808,4193,692,116.67,2
Support,-926,2830,952,62.6,13
Support,-134,2416,1141,42.49,39
Support,-600,3222,1311,63.71,29
Support,-440,3654,1607,68.24,10
Support,-796,4625,1914,90.34,7
Support,867,3486,2176,43.65,11
Support,52,4799,2425,79.12,13
