Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,-614,3538,1462,69.21,25
Resistance,405,2937,1671,42.2,41
Resistance,499,3105,1802,43.43,21
Resistance,243,3867,2055,60.42,8
Resistance,1123,3308,2215,36.43,13
Resistance,1098,3672,2385,42.9,6
Resistance,-246,5481,2618,95.46,2
Resistance,460,5273,2867,80.21,3
Support,-252,746,247,16.63,29
Support,26,591,308,9.42,12
Support,179,678,429,8.32,5
Support,379,772,576,6.54,5
Support,514,1038,776,8.72,3
Support,523,1394,958,14.53,12
Support,329,1682,1006,22.56,14
Support,-547,3012,1232,59.32,13
