Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,186,1057,622,14.52,20
Resistance,317,1027,672,11.83,10
Resistance,57,1395,726,22.3,15
Resistance,391,1301,846,15.17,5
Resistance,202,1682,942,24.66,3
Resistance,322,1802,1062,24.66,3
Resistance,469,1774,1121,21.75,4
Resistance,824,1789,1307,16.07,3
Support,-244,696,226,15.67,6
Support,-233,785,276,16.97,2
Support,-31,798,384,13.82,13
Support,-54,957,451,16.85,17
Support,237,752,494,8.58,20
Support,346,693,519,5.77,27
Support,312,780,546,7.79,16
Support,354,802,578,7.47,13
