Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,7136,44891,26014,629.25,9
Resistance,1640,56073,28856,907.23,27
Resistance,9062,57797,33430,812.24,11
Resistance,19005,53578,36292,576.22,9
Resistance,25373,51699,38536,438.77,9
Resistance,28896,51679,40288,379.72,6
Resistance,26462,56971,41717,508.49,12
Resistance,23848,65052,44450,686.72,12
Support,-7867,21899,7016,496.1,12
Support,294,15622,7958,255.47,23
Support,-12807,35724,11458,808.84,24
Support,-3951,31451,13750,590.02,13
Support,-8739,41283,16272,833.71,9
Support,-781,40767,19993,692.47,17
Support,10343,34935,22639,409.86,9
Support,6315,42581,24448,604.43,14
