Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,-31,2363,1166,39.91,22
Resistance,175,2495,1335,38.67,22
Resistance,605,2263,1434,27.63,30
Resistance,891,2192,1541,21.69,27
Resistance,1019,2239,1629,20.33,13
Resistance,907,2577,1742,27.84,9
Resistance,939,2772,1856,30.55,23
Resistance,966,2949,1958,33.06,8
Resistance,212,4143,2178,65.51,4
Support,605,605,605,0.0,1
Support,296,1144,720,14.14,2
Support,447,1140,793,11.55,3
Support,509,1146,828,10.61,2
Support,796,1009,902,3.54,2
Support,686,1230,958,9.08,5
Support,696,1314,1005,10.31,9
Support,802,1282,1042,7.99,8
Support,820,1340,1080,8.66,3
