Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,1006,3952,2479,49.1,18
Resistance,1576,3886,2731,38.51,20
Resistance,1663,4070,2867,40.11,29
Resistance,1409,4651,3030,54.04,11
Resistance,953,5793,3373,80.66,6
Resistance,2179,4943,3561,46.06,10
Resistance,1752,5938,3845,69.77,20
Resistance,1511,6761,4136,87.49,15
Resistance,1791,7057,4424,87.77,9
Support,1385,1385,1385,0.0,1
Support,1272,2302,1787,17.18,5
Support,1217,2642,1929,23.75,11
Support,1464,2580,2022,18.59,10
Support,1452,2748,2100,21.6,4
Support,1685,2670,2178,16.41,9
Support,1766,2711,2239,15.74,7
Support,2133,2480,2307,5.77,3
Support,1968,2742,2355,12.91,4
