Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,126,250,188,2.07,23
Resistance,119,272,195,2.54,30
Resistance,121,290,206,2.83,23
Resistance,139,291,215,2.53,16
Resistance,158,286,222,2.14,8
Resistance,126,343,234,3.61,16
Resistance,14,491,253,7.95,5
Resistance,74,495,285,7.02,3
Resistance,-25,653,314,11.31,2
Support,41,84,62,0.71,2
Support,77,77,77,0.0,1
Support,-117,307,95,7.07,2
Support,30,192,111,2.7,5
Support,68,168,118,1.67,9
Support,61,189,125,2.14,12
Support,136,136,136,0.0,2
Support,160,160,160,0.0,1
Support,89,267,178,2.96,39
