Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,-64,251,93,5.24,6,93.0,0.0941,85.0,57.63,1
Resistance,27,207,117,3.0,8,117.0,0.3765,85.0,20.7,2
Resistance,37,242,139,3.41,11,139.0,0.6353,85.0,17.05,3
Resistance,27,229,128,3.37,8,128.0,0.5059,85.0,15.51,4
Resistance,11,296,154,4.75,7,154.0,0.8118,85.0,8.52,5
Resistance,51,323,187,4.55,7,187.0,1.2,85.0,5.79,6
Resistance,14,327,171,5.22,5,171.0,1.0118,85.0,4.89,7
Resistance,118,276,197,2.65,3,197.0,1.3176,85.0,2.26,8
Resistance,220,220,220,0.0,1,220.0,1.5882,85.0,0.63,9
Resistance,246,246,246,0.0,1,246.0,1.8941,85.0,0.53,10
Support,51,84,68,0.55,5,68.0,0.2,85.0,23.81,1
Support,56,91,74,0.58,3,74.0,0.1294,85.0,21.52,2
Support,36,81,59,0.75,6,59.0,0.3059,85.0,18.99,3
Support,37,87,62,0.84,5,62.0,0.2706,85.0,17.82,4
Support,50,80,65,0.5,4,65.0,0.2353,85.0,16.31,5
Support,52,87,70,0.58,3,70.0,0.1765,85.0,16.09,6
Support,80,80,80,0.0,1,80.0,0.0588,85.0,14.53,7
Support,39,72,56,0.55,5,56.0,0.3412,85.0,14.24,8
Support,35,70,53,0.58,3,53.0,0.3765,85.0,7.76,9
Support,33,68,50,0.58,3,50.0,0.4118,85.0,7.11,10
