Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,609,2415,1512,30.1,18,1512.0,0.0428,1450.0,341.18,1
Resistance,459,2768,1614,38.48,11,1614.0,0.1131,1450.0,89.36,2
Resistance,439,3115,1777,44.61,16,1777.0,0.2255,1450.0,67.94,3
Resistance,758,3436,2097,44.62,14,2097.0,0.4462,1450.0,30.69,4
Resistance,616,3293,1954,44.62,10,1954.0,0.3476,1450.0,27.97,5
Resistance,790,3785,2287,49.92,15,2287.0,0.5772,1450.0,25.54,6
Resistance,324,5059,2691,78.91,15,2691.0,0.8559,1450.0,17.32,7
Resistance,1511,4341,2926,47.17,16,2926.0,1.0179,1450.0,15.57,8
Resistance,528,5832,3180,88.41,13,3180.0,1.1931,1450.0,10.81,9
Resistance,920,3994,2457,51.22,7,2457.0,0.6945,1450.0,9.94,10
Support,571,2251,1411,28.0,11,1411.0,0.0269,1450.0,298.13,1
Support,597,2052,1325,24.26,12,1325.0,0.0862,1450.0,124.73,2
Support,689,1845,1267,19.26,8,1267.0,0.1262,1450.0,58.73,3
Support,241,1580,910,22.31,14,910.0,0.3724,1450.0,36.61,4
Support,221,1809,1015,26.46,6,1015.0,0.3,1450.0,19.35,5
Support,740,1640,1190,15.0,3,1190.0,0.1793,1450.0,15.85,6
Support,166,1141,654,16.26,7,654.0,0.549,1450.0,12.52,7
Support,292,1106,699,13.57,6,699.0,0.5179,1450.0,11.37,8
Support,-153,1776,812,32.15,3,812.0,0.44,1450.0,6.67,9
Support,364,364,364,0.0,1,364.0,0.749,1450.0,1.32,10
