Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,23289,28111,25700,80.36,7,25700.0,0.0138,25350.0,294.03,1
Resistance,15222,40428,27825,420.09,12,27825.0,0.0976,25350.0,111.49,2
Resistance,17782,40028,28905,370.77,10,28905.0,0.1402,25350.0,66.56,3
Resistance,10315,50142,30228,663.79,8,30228.0,0.1924,25350.0,39.52,4
Resistance,18874,48386,33630,491.85,10,33630.0,0.3266,25350.0,29.71,5
Resistance,19005,53578,36292,576.22,9,36292.0,0.4316,25350.0,20.38,6
Resistance,26462,56971,41717,508.49,12,41717.0,0.6456,25350.0,18.3,7
Resistance,25373,51699,38536,438.77,9,38536.0,0.5202,25350.0,16.98,8
Resistance,23848,65052,44450,686.72,12,44450.0,0.7535,25350.0,15.72,9
Resistance,28896,51679,40288,379.72,6,40288.0,0.5893,25350.0,10.01,10
Support,16526,33169,24847,277.39,9,24847.0,0.0198,25350.0,301.59,1
Support,13239,33861,23550,343.69,7,23550.0,0.071,25350.0,86.41,2
Support,557,39284,19920,645.45,16,19920.0,0.2142,25350.0,71.36,3
Support,4813,39862,22338,584.17,8,22338.0,0.1188,25350.0,62.1,4
Support,-106,23948,11921,400.89,19,11921.0,0.5297,25350.0,35.2,5
Support,294,15622,7958,255.47,23,7958.0,0.6861,25350.0,33.04,6
Support,-2351,30009,13829,539.34,12,13829.0,0.4545,25350.0,25.84,7
Support,-8739,41283,16272,833.71,9,16272.0,0.3581,25350.0,24.45,8
Support,-7867,21899,7016,496.1,12,7016.0,0.7232,25350.0,16.37,9
Support,-481,20915,10217,356.6,6,10217.0,0.597,25350.0,9.89,10
