Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,52,409,230,5.95,14,230.0,0.0455,220.0,252.46,1
Resistance,5,500,253,8.25,24,253.0,0.15,220.0,150.0,2
Resistance,-25,610,293,10.58,24,293.0,0.3318,220.0,70.21,3
Resistance,-128,810,341,15.63,6,341.0,0.55,220.0,10.71,4
Resistance,274,528,401,4.24,2,401.0,0.8227,220.0,2.4,5
Support,103,323,213,3.65,16,213.0,0.0318,220.0,382.61,1
Support,-194,413,110,10.11,46,110.0,0.5,220.0,90.2,2
Support,-261,578,158,13.97,12,158.0,0.2818,220.0,41.12,3
Support,57,340,198,4.73,3,198.0,0.1,220.0,27.27,4
Support,4,100,52,1.6,7,52.0,0.7636,220.0,9.05,5
