Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,-18,1277,630,21.58,25,630.0,0.0588,595.0,363.25,1
Resistance,-120,1550,715,27.84,20,715.0,0.2017,595.0,94.48,2
Resistance,-693,2457,882,52.5,8,882.0,0.4824,595.0,16.25,3
Resistance,-48,2239,1096,38.13,7,1096.0,0.842,595.0,8.22,4
Resistance,824,1789,1307,16.07,3,1307.0,1.1966,595.0,2.49,5
Support,44,1081,562,17.29,27,562.0,0.0555,595.0,412.45,1
Support,109,914,512,13.42,46,512.0,0.1395,595.0,307.7,2
Support,-106,1017,456,18.71,20,456.0,0.2336,595.0,82.1,3
Support,-31,798,384,13.82,13,384.0,0.3546,595.0,35.65,4
Support,-588,1065,238,27.56,8,238.0,0.6,595.0,13.11,5
