Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,-274,791,258,17.74,41,258.0,0.1416,226.0,270.46,1
Resistance,-343,1008,333,22.51,37,333.0,0.4735,226.0,76.53,2
Resistance,-312,1160,424,24.52,16,424.0,0.8761,226.0,18.06,3
Resistance,-94,1169,538,21.04,8,538.0,1.3805,226.0,5.75,4
Resistance,98,1312,705,20.25,6,705.0,2.1195,226.0,2.82,5
Resistance,113,1104,609,16.52,4,609.0,1.6947,226.0,2.35,6
Support,119,319,219,3.33,13,219.0,0.031,226.0,317.28,1
Support,98,316,207,3.62,9,207.0,0.0841,226.0,95.67,2
Support,120,268,194,2.48,7,194.0,0.1416,226.0,46.18,3
Support,83,233,158,2.5,11,158.0,0.3009,226.0,35.38,4
Support,71,265,168,3.24,7,168.0,0.2566,226.0,26.25,5
Support,79,212,146,2.22,4,146.0,0.354,226.0,10.99,6
