Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,663,1657,1160,16.58,11,1160.0,0.0265,1130.0,300.97,1
Resistance,915,1540,1228,10.41,4,1228.0,0.0867,1130.0,41.35,2
Resistance,352,2281,1317,32.15,3,1317.0,0.1655,1130.0,17.1,3
Resistance,449,2681,1565,37.19,4,1565.0,0.385,1130.0,10.13,4
Resistance,996,1844,1420,14.14,2,1420.0,0.2566,1130.0,7.5,5
Resistance,845,2515,1680,27.84,3,1680.0,0.4867,1130.0,6.04,6
Support,-156,2245,1045,40.02,28,1045.0,0.0752,1130.0,328.56,1
Support,-728,1780,526,41.81,51,526.0,0.5345,1130.0,93.66,2
Support,-97,1886,894,33.06,20,894.0,0.2088,1130.0,91.39,3
Support,-552,1843,646,39.91,34,646.0,0.4283,1130.0,77.57,4
Support,-292,1069,388,22.67,25,388.0,0.6566,1130.0,37.5,5
Support,-456,1098,321,25.91,9,321.0,0.7159,1130.0,12.4,6
