Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,-772,1183,206,32.58,44,206.0,0.2189,169.0,192.19,1
Resistance,-864,1554,345,40.29,35,345.0,1.0414,169.0,33.29,2
Resistance,-778,1811,517,43.15,27,517.0,2.0592,169.0,13.05,3
Resistance,-275,1508,617,29.72,26,617.0,2.6509,169.0,9.77,4
Resistance,-538,2046,754,43.06,15,754.0,3.4615,169.0,4.32,5
Resistance,-869,2739,935,60.14,7,935.0,4.5325,169.0,1.54,6
Resistance,-1514,4061,1273,92.92,3,1273.0,6.5325,169.0,0.46,7
Support,121,213,167,1.55,6,167.0,0.0118,169.0,274.8,1
Support,43,265,154,3.69,15,154.0,0.0888,169.0,151.89,2
Support,30,249,140,3.65,14,140.0,0.1716,169.0,77.09,3
Support,29,224,127,3.26,11,127.0,0.2485,169.0,42.55,4
Support,3,219,111,3.61,3,111.0,0.3432,169.0,8.49,5
Support,83,118,100,0.58,3,100.0,0.4083,169.0,7.17,6
Support,49,133,91,1.41,2,91.0,0.4615,169.0,4.24,7
